x,gene_name
1,ACP1
2,ARFGAP2
3,ATP1A
4,ATXN7
5,AURKAIP1
6,BEST1
7,BIN1
8,BLCAP
9,CADPS
10,CCNI
11,CD6
12,CRB2
13,CYFIP2
14,CYR61(CCN1)
15,FLNA
16,FLNB
17,FRG1
18,GABRA3
19,GANAB
20,GLUD2
20,GRIA1
21,GRIA2
22,GRIA3
23,GRIA4
24,GRIK1
25,GRIK2
26,GRIN3A
27,GRIN3B
28,HMCN1
29,HTR2C
30,IGFBP7
31,KIF20B
32,MRPL28
33,NEIL1
34,NOVA1
35,PABPC3
36,PTK2
37,PTPRN2
38,RSU1
39,SON
40,SRP9
41,TLN1
42,TMEM63B
43,TTLL3
44,TTYH1
45,TUBGCP5
46,UBC
47,ULK2
48,VWF
49,ZNF414
