gene,gene_name
1,VCY
2,LGI4
3,LINC01587
4,JRKL
5,VCX2
6,CA10
7,PCP4
8,CCDC85C
9,FA2H
10,TMEM41B
11,SERF1A
12,HAPLN3
13,HAPLN4
14,CDH11
15,NCMAP
16,ADAM22
17,SH3TC2
18,CEND1
19,NUMBL
20,TBCE
21,ZC4H2
22,PSMG1
23,MDGA2
24,CYB5D2
25,HAPLN2
26,CBLN2
27,CDH22
28,HPCAL4
29,VCX3B
30,SNTG2
31,HAPLN1
32,VCX3A
33,IGSF10
34,ISL2
35,POTEE
36,CBLN1
37,ASPA
38,PLXNA4
39,INSC
40,ZNHIT2
41,ELAVL3
42,NAV2
43,ADGRB2
44,MPPED2
45,BZW2
46,SEMA4G
47,SEMA4B
48,SEMA3D
49,MPP5
50,MDGA1
51,MYRF
52,TENM4
53,TCTN1
54,TSKU
55,MAP2
56,FBXO45
57,FAIM2
58,CEP120
59,PLP1
60,AGTPBP1
61,CCDC14
62,SPATA5
63,ADAM23
64,TACC2
65,PPP1R17
66,ATRN
67,SH3GL3
68,AMIGO3
69,C11orf63
70,DRP2
71,PLXDC1
72,PCDH18
73,PTCHD1
74,MOG
75,BCL2A1
76,LRRN3
77,IL1RAPL2
78,LRRN1
79,DCC
80,TACC1
81,LAMC3
82,CTTNBP2
83,ROGDI
84,DPCD
85,PCDH9
86,LRRC24
87,TMEM57
88,TPBG
89,PCDH19
90,CSMD3
91,LINGO2
92,PHOX2A
93,HOOK3
94,LHX5
95,TLX3
96,SEMA6B
97,GUSBP1
98,UNC5D
99,PRX
100,RBM45
101,ZIC5
102,PMP22
103,WASF3
104,NGRN
105,FGF11
106,SLITRK5
107,NHSL1
108,PHOX2B
109,METRN
110,SLITRK2
111,CPNE9
112,DLL3
113,FBXO38
114,FAM134C
115,NEPRO
116,FUOM
117,SLITRK3
118,SLITRK4
119,NEFH
120,SERPINI1
121,GDPD5
122,OTP
123,SLC4A10
124,FABP7
125,SLIT1
126,DBX1
127,EMX2
128,DRAXIN
129,NDRG1
130,LBX1
131,DIXDC1
132,DCT
133,NKX6-2
134,DCLK1
135,SZT2
136,HOXD10
137,PLXNA2
138,KCNJ10
139,ARHGEF10
140,HERC1
141,BRINP3
142,KIAA0319
143,LINGO1
144,SEMA3A
145,ARCN1
146,RNF112
147,PLPPR5
148,BRINP2
149,TLE6
150,LLPH
151,PLXNC1
152,SEMA3G
153,ISLR2
154,DUOXA1
155,TENM3
156,OMG
157,CPNE5
158,NEGR1
159,AMIGO2
160,THBS2
161,SPRY3
162,PCDHGB3
163,PCDHA9
164,TMEM126A
165,CDHR4
166,CDNF
167,BTG4
168,NPY
169,HOXB2
170,LHX8
171,SALL3
172,NINJ2
173,LHX6
174,SCRG1
175,PCDHA12
176,GFRA3
177,BRINP1
178,C16orf45
179,PCDHGA12
180,PCDHGA7
181,PCDHGA6
182,PCDHGA5
183,PCDHGA4
184,PCDHA8
185,PCDHA5
186,PCDHA3
187,KCTD11
188,MAB21L2
189,TBCB
190,PTPRG
191,EMX1
192,PCDHAC2
193,PCDHA1
194,PCDHA11
195,PCDHA13
196,PCDHGA1
197,PCDHGA10
198,PCDHGA11
199,PCDHGA2
200,PCDHGA3
201,PCDHGA8
202,PCDHGB1
203,PCDHGB2
204,PCDHGB6
205,PCDHGB7
206,MSI1
207,KIF1BP
208,PCDHA10
209,PCDHAC1
210,BAI1
211,DMRTA2
212,PCDH10
213,PCDHA6
214,GBA2
215,CNTN4
216,DCLK2
217,MOBP
218,ID4
219,NUMB
220,MAG
221,FZD3
222,SYNGR3
223,SMG9
224,DCX
225,INA
226,MCPH1
227,SHROOM4
228,VCX
229,CNTN6
230,SEMA3F
231,BTD
232,TACC3
233,MACROD2
234,PTS
235,SEZ6L
236,PAFAH1B3
237,DSCAML1
238,EFHC1
239,SYPL2
240,CHST8
241,S1PR5
242,SEC16A
243,CHODL
244,TSPAN2
245,SDF4
246,C5orf42
247,MYCL
248,EPOR
249,SELENOP
250,ECE2
251,COQ8B
252,RTN4IP1
253,PLXNA3
254,EML1
255,NPTX1
256,ARHGAP11B
257,SEMA6D
258,SCN1B
259,HYDIN
260,ZSWIM6
261,CRTAC1
262,UTP3
263,ADARB1
264,CNTN2
265,GBX2
266,PARD3
267,OLIG2
268,PCM1
269,TG
270,ROBO2
271,NKX2-2
272,TLX2
273,SRGAP2C
274,SPOCK1
275,POU3F1
276,GSX2
277,HES3
278,ASPM
279,SEZ6
280,RAC3
281,ABT1
282,GBX1
283,IGF2BP1
284,OLIG3
285,CTNNA2
286,EVX1
287,ARL13B
288,RRM1
289,MNX1
290,NRCAM
291,LHX4
292,DMRT3
293,POU3F2
294,DICER1
295,KNDC1
296,ARX
297,DOCK7
298,GRID2
299,ATF5
300,EPHB1
301,NTRK2
302,VWC2L
303,NRXN3
304,PHACTR4
305,DDX56
306,TUBB2B
307,SF3A2
308,BHLHB9
309,NAP1L2
310,FOXO6
311,ADGRL3
312,KLK8
313,ADGRB3
314,CLSTN3
315,LRRC7
316,LSM1
317,MAN2A1
318,KIF26A
319,DPYSL2
320,UGT8
321,TMEM106B
322,PTPRZ1
323,CRMP1
324,GPR173
325,EIF4ENIF1
326,IFRD1
327,KLK6
328,ARHGEF1
329,SLITRK6
330,SLITRK1
331,UNCX
332,ITSN2
333,RAP1GAP2
334,SEMA4F
335,AVIL
336,DISP3
337,MOB2
338,FSTL4
339,ITM2C
340,CDH4
341,VWC2
342,FBXW8
343,ALDH3A2
344,GORAB
345,SYNDIG1
346,CLSTN2
347,SRPX2
348,CLSTN1
349,LRRTM2
350,ADGRL1
351,SDCBP2
352,SEMA6C
353,RAPGEFL1
354,DOK4
355,PCDHB18P
356,CAMSAP1
357,LINGO4
358,CDKL3
359,IRX3
360,HOXB1
361,DOK6
362,NYAP1
363,LSAMP
364,EFHD1
365,VPS13A
366,LRRC55
367,LY6H
368,EPHB2
369,TIMM8A
370,PCDH1
371,CNTN1
372,BICDL1
373,PCDHB10
374,LRIG1
375,LRFN2
376,CHRD
377,CBFA2T2
378,PCDHA7
379,PCDHGC3
380,C1QL1
381,CLMN
382,MARVELD1
383,PLXNB2
384,ZNF488
385,PCDHB16
386,PCDHB9
387,PCDHB2
388,PCDHB14
389,PCDHGC5
