gene_name,gene_id
mt-Tp,ENSMUSG00000064372
mt-Tt,ENSMUSG00000064371
mt-Cytb,ENSMUSG00000064370
mt-Te,ENSMUSG00000064369
mt-Nd6,ENSMUSG00000064368
mt-Nd5,ENSMUSG00000064367
mt-Tl2,ENSMUSG00000064366
mt-Ts2,ENSMUSG00000064365
mt-Th,ENSMUSG00000064364
mt-Nd4,ENSMUSG00000064363
mt-Nd4l,ENSMUSG00000065947
mt-Tr,ENSMUSG00000064361
mt-Nd3,ENSMUSG00000064360
mt-Tg,ENSMUSG00000064359
mt-Co3,ENSMUSG00000064358
mt-Atp6,ENSMUSG00000064357
mt-Atp8,ENSMUSG00000064356
mt-Tk,ENSMUSG00000064355
mt-Co2,ENSMUSG00000064354
mt-Td,ENSMUSG00000064353
mt-Ts1,ENSMUSG00000064352
mt-Co1,ENSMUSG00000064351
mt-Ty,ENSMUSG00000064350
mt-Tc,ENSMUSG00000064349
mt-Tn,ENSMUSG00000064348
mt-Ta,ENSMUSG00000064347
mt-Tw,ENSMUSG00000064346
mt-Nd2,ENSMUSG00000064345
mt-Tm,ENSMUSG00000064344
mt-Tq,ENSMUSG00000064343
mt-Ti,ENSMUSG00000064342
mt-Nd1,ENSMUSG00000064341
mt-Tl1,ENSMUSG00000064340
mt-Rnr2,ENSMUSG00000064339
mt-Tv,ENSMUSG00000064338
mt-Rnr1,ENSMUSG00000064337
mt-Tf,ENSMUSG00000064336
Gm11427,ENSMUSG00000083161
Gm13341,ENSMUSG00000083863
Gm13790,ENSMUSG00000086302
Hc,ENSMUSG00000026874
Gm37750,ENSMUSG00000104268
Gm28117,ENSMUSG00000101140
Myo3a,ENSMUSG00000025716
Pum1,ENSMUSG00000028580
Acad11,ENSMUSG00000090150
4930507D10Rik,ENSMUSG00000086703
Dusp7,ENSMUSG00000053716
Gm11749,ENSMUSG00000084887
Cdk18,ENSMUSG00000026437
Gm4847,ENSMUSG00000051081
Jakmip3,ENSMUSG00000056856
A530053G22Rik,ENSMUSG00000046764
Pla2g4a,ENSMUSG00000056220
Rbfox3,ENSMUSG00000025576
G630016G05Rik,ENSMUSG00000086308
Gm20396,ENSMUSG00000092504
Gm20397,ENSMUSG00000092516
2810405F15Rik,ENSMUSG00000103562
Gm18489,ENSMUSG00000092184
2700033N17Rik,ENSMUSG00000086328
Gm17396,ENSMUSG00000079669
Gm10152,ENSMUSG00000103394
Fam73a,ENSMUSG00000054942
Gm13991,ENSMUSG00000081787
RP23-38B15.1,ENSMUSG00000107335
Abhd11os,ENSMUSG00000085042
Gm13990,ENSMUSG00000086462
A4gnt,ENSMUSG00000037953
Mfsd2a,ENSMUSG00000028655
Gm15454,ENSMUSG00000096712
RP23-255N3.4,ENSMUSG00000104584
Rbms3,ENSMUSG00000039607
Gm17200,ENSMUSG00000090608
Hebp1,ENSMUSG00000042770
Tmco5,ENSMUSG00000027355
Gm10052,ENSMUSG00000058922
Ccr9,ENSMUSG00000029530
Cct7,ENSMUSG00000030007
8430419L09Rik,ENSMUSG00000030207
RP23-89M16.5,ENSMUSG00000107608
Fcer1g,ENSMUSG00000058715
4933440N22Rik,ENSMUSG00000042087
Hnrnpf,ENSMUSG00000042079
Dbhos,ENSMUSG00000085008
Gm17021,ENSMUSG00000091661
Ccr7,ENSMUSG00000037944
Lztfl1,ENSMUSG00000025245
Gm17216,ENSMUSG00000084823
Ergic2,ENSMUSG00000030304
Gm20537,ENSMUSG00000092541
Aoc3,ENSMUSG00000019326
RP23-171B16.2,ENSMUSG00000108239
Tmf1,ENSMUSG00000030059
Ubald2,ENSMUSG00000050628
Gm28156,ENSMUSG00000101925
Ptprtos,ENSMUSG00000084919
Gm11618,ENSMUSG00000083991
Pradc1,ENSMUSG00000030008
D330050G23Rik,ENSMUSG00000085316
Gm11619,ENSMUSG00000082478
9430021M05Rik,ENSMUSG00000054457
Gm29340,ENSMUSG00000099470
Gm14246,ENSMUSG00000087536
Gm13981,ENSMUSG00000074930
G6pc,ENSMUSG00000078650
Gm11450,ENSMUSG00000082296
Gm20532,ENSMUSG00000092356
Lrrc40,ENSMUSG00000063052
Rapgef1,ENSMUSG00000039844
Gm14255,ENSMUSG00000086030
Agpat2,ENSMUSG00000026922
Gm11451,ENSMUSG00000083567
Spred1,ENSMUSG00000027351
Gm11452,ENSMUSG00000082514
Spta1,ENSMUSG00000026532
Fgf3,ENSMUSG00000031074
Srsf6,ENSMUSG00000016921
Fam69b,ENSMUSG00000036186
Smarce1,ENSMUSG00000037935
Fyco1,ENSMUSG00000025241
Rap1a-ps2,ENSMUSG00000081842
Usp48,ENSMUSG00000043411
Fam98b,ENSMUSG00000027349
Egfl7,ENSMUSG00000026921
Rundc1,ENSMUSG00000035007
RP24-68G17.4,ENSMUSG00000104597
Gm17020,ENSMUSG00000091149
Gm11542,ENSMUSG00000085051
Gm17120,ENSMUSG00000091172
Gm27029,ENSMUSG00000097239
Slc6a20a,ENSMUSG00000036814
L3mbtl1,ENSMUSG00000035576
Ctnnd1,ENSMUSG00000034101
Gjb3,ENSMUSG00000042367
Rnd1,ENSMUSG00000054855
Mageb16-ps2,ENSMUSG00000107755
RP23-81K19.4,ENSMUSG00000108168
Gjb4,ENSMUSG00000046623
Ldb1,ENSMUSG00000025223
Ier5l,ENSMUSG00000089762
Tmem213,ENSMUSG00000029829
Gjb5,ENSMUSG00000042357
Eno2,ENSMUSG00000004267
Gm37571,ENSMUSG00000102558
Jup,ENSMUSG00000001552
Gm37383,ENSMUSG00000102837
Gm36934,ENSMUSG00000103771
Pitpnm2os1,ENSMUSG00000090220
Cep350,ENSMUSG00000033671
Gm14487,ENSMUSG00000085275
5530401A14Rik,ENSMUSG00000020703
Igkv9-128,ENSMUSG00000104742
RP24-257M14.2,ENSMUSG00000105759
Gm26800,ENSMUSG00000097896
Gm12947,ENSMUSG00000079998
Pitpnm2,ENSMUSG00000029406
Tmem30c,ENSMUSG00000022753
Gm7694,ENSMUSG00000102752
Igkv17-127,ENSMUSG00000076508
2810404F17Rik,ENSMUSG00000085329
Gm11416,ENSMUSG00000082027
Gm11418,ENSMUSG00000087534
Cstad,ENSMUSG00000047363
1700071K01Rik,ENSMUSG00000080980
Gm15206,ENSMUSG00000082007
1600002D24Rik,ENSMUSG00000086899
Fam129a,ENSMUSG00000026483
Gm11417,ENSMUSG00000085130
1700015E13Rik,ENSMUSG00000042800
Gm7331,ENSMUSG00000059461
4930527B05Rik,ENSMUSG00000086971
Gm15340,ENSMUSG00000085903
4930471C06Rik,ENSMUSG00000086138
Asic2,ENSMUSG00000020704
Gm6134,ENSMUSG00000094189
Mtmr4,ENSMUSG00000018401
Gm14486,ENSMUSG00000087268
RP24-204J8.5,ENSMUSG00000108188
9330198N18Rik,ENSMUSG00000086405
RP24-204J8.4,ENSMUSG00000108215
Coq2,ENSMUSG00000029319
1700080G11Rik,ENSMUSG00000086771
RP24-559P3.1,ENSMUSG00000106694
Bud13,ENSMUSG00000032077
A630031M04Rik,ENSMUSG00000087470
Wdr63,ENSMUSG00000043020
Gm14488,ENSMUSG00000075416
Gm38038,ENSMUSG00000103717
D6Wsu163e,ENSMUSG00000030347
1700112K13Rik,ENSMUSG00000087510
Ctsh,ENSMUSG00000032359
Acy1,ENSMUSG00000023262
Gm15777,ENSMUSG00000085269
Rho,ENSMUSG00000030324
Gm10238,ENSMUSG00000068348
Gm27204,ENSMUSG00000098294
RP23-156F20.5,ENSMUSG00000106522
RP23-156F20.4,ENSMUSG00000105271
Rimbp2,ENSMUSG00000029420
Stil,ENSMUSG00000028718
Smad6,ENSMUSG00000036867
Filip1l,ENSMUSG00000043336
1700021N21Rik,ENSMUSG00000087343
RP24-350H4.4,ENSMUSG00000107548
Zdhhc18,ENSMUSG00000037553
Ap2b1,ENSMUSG00000035152
CK137956,ENSMUSG00000028813
RP23-81K19.1,ENSMUSG00000108262
Gm37228,ENSMUSG00000102530
RP24-289J19.2,ENSMUSG00000105952
1700055C04Rik,ENSMUSG00000093616
Eif3b,ENSMUSG00000056076
Arrdc1,ENSMUSG00000026972
RP24-204J8.6,ENSMUSG00000107455
Pitpnm2os2,ENSMUSG00000089842
Gm13213,ENSMUSG00000083885
Pprc1,ENSMUSG00000055491
Vmn1r-ps25,ENSMUSG00000100128
St13,ENSMUSG00000022403
Gm37234,ENSMUSG00000102330
Vmn1r40,ENSMUSG00000096051
Psmg1,ENSMUSG00000022913
Prtg,ENSMUSG00000036030
Vmn1r41,ENSMUSG00000094586
Atxn7l3,ENSMUSG00000059995
AI182371,ENSMUSG00000035875
Vmn1r-ps26,ENSMUSG00000092311
Vmn1r-ps27,ENSMUSG00000092237
Vmn1r42,ENSMUSG00000068232
Vmn1r43,ENSMUSG00000068231
Kdm5c,ENSMUSG00000025332
Vmn1r44,ENSMUSG00000068234
Hoxc4,ENSMUSG00000075394
RP24-229C13.4,ENSMUSG00000108008
RP23-23E11.1,ENSMUSG00000107712
RP23-411N5.5,ENSMUSG00000107913
RP23-477A19.2,ENSMUSG00000108070
Vmn1r-ps28,ENSMUSG00000092228
RP23-36I21.1,ENSMUSG00000107725
RP23-411N5.4,ENSMUSG00000107606
Kctd2,ENSMUSG00000016940
RP23-477A19.5,ENSMUSG00000107729
Gm13432,ENSMUSG00000083528
Rbpsuh-rs3,ENSMUSG00000079575
5730585A16Rik,ENSMUSG00000102297
RP24-229C13.5,ENSMUSG00000107779
RP24-229C13.3,ENSMUSG00000107414
Gm28876,ENSMUSG00000101356
RP23-112F6.2,ENSMUSG00000107454
RP23-261F17.1,ENSMUSG00000107532
Gm28265,ENSMUSG00000101588
RP23-172L21.1,ENSMUSG00000108055
Gm10830,ENSMUSG00000099758
RP23-411N5.3,ENSMUSG00000107571
RP23-315F23.1,ENSMUSG00000107952
Foxo6,ENSMUSG00000052135
Cntnap2,ENSMUSG00000039419
Zfp420,ENSMUSG00000058402
Gm12486,ENSMUSG00000082415
Gm27203,ENSMUSG00000098471
A730062M13Rik,ENSMUSG00000102971
Pdzph1,ENSMUSG00000024227
Gm38210,ENSMUSG00000104474
Foxo6os,ENSMUSG00000084929
RP23-81F19.1,ENSMUSG00000108015
Edf1,ENSMUSG00000015092
Xlr,ENSMUSG00000054626
Tpt1-ps1,ENSMUSG00000083546
Mlh1,ENSMUSG00000032498
RP23-437C24.1,ENSMUSG00000106069
Mcoln3,ENSMUSG00000036853
RP23-437C24.2,ENSMUSG00000104645
Slc25a38,ENSMUSG00000032519
Znrf1,ENSMUSG00000033545
Gm15579,ENSMUSG00000086828
Mpzl1,ENSMUSG00000026566
Slc25a51,ENSMUSG00000045973
Gm37217,ENSMUSG00000102689
Gm18356,ENSMUSG00000099952
Gm27037,ENSMUSG00000098126
Gm8883,ENSMUSG00000099707
Gpsm1,ENSMUSG00000026930
Obscn,ENSMUSG00000061462
B130034C11Rik,ENSMUSG00000093606
Gm12490,ENSMUSG00000081569
Cntrobos,ENSMUSG00000087003
RP23-218B2.5,ENSMUSG00000106283
Tspan1,ENSMUSG00000028699
Arf3,ENSMUSG00000051853
RP23-477A19.4,ENSMUSG00000107858
RP23-172L21.2,ENSMUSG00000107886
Hnmt,ENSMUSG00000026986
RP24-276E19.1,ENSMUSG00000107442
RP24-229C13.2,ENSMUSG00000107433
RP23-261F17.2,ENSMUSG00000108217
RP24-229C13.1,ENSMUSG00000108123
RP24-133O13.2,ENSMUSG00000107643
RP24-325F2.1,ENSMUSG00000107515
RP23-411N5.1,ENSMUSG00000108189
Guf1,ENSMUSG00000029208
RP23-411N5.2,ENSMUSG00000107782
RP24-133O13.1,ENSMUSG00000108146
Iqcb1,ENSMUSG00000022837
Gm28115,ENSMUSG00000100462
Mrgprb13,ENSMUSG00000099620
Gm15263,ENSMUSG00000084058
Gm14882,ENSMUSG00000083063
Tollip,ENSMUSG00000025139
Rpl31-ps4,ENSMUSG00000090753
Cdc23,ENSMUSG00000024370
Tbc1d8b,ENSMUSG00000042473
Npy2r,ENSMUSG00000028004
Dnd1,ENSMUSG00000044595
Olfr9,ENSMUSG00000069430
Olfr763,ENSMUSG00000063374
Gm12313,ENSMUSG00000082370
Gm14902,ENSMUSG00000086736
Ighv1-66,ENSMUSG00000095519
Gm12314,ENSMUSG00000080814
RP23-218K6.4,ENSMUSG00000105093
Gm18357,ENSMUSG00000100687
P2rx4,ENSMUSG00000029470
Ly6f,ENSMUSG00000022583
Cbx5,ENSMUSG00000009575
RP23-8L20.9,ENSMUSG00000106898
RP23-8L20.8,ENSMUSG00000107389
Tnfrsf22,ENSMUSG00000010751
Tars2,ENSMUSG00000028107
Trim80,ENSMUSG00000070332
Gm19136,ENSMUSG00000099701
Gm36937,ENSMUSG00000102413
Kcnj9,ENSMUSG00000038026
Gm37559,ENSMUSG00000103098
Gm12348,ENSMUSG00000086031
2310069B03Rik,ENSMUSG00000100291
Nxph3,ENSMUSG00000046719
RP24-317F6.7,ENSMUSG00000108053
Mthfd2,ENSMUSG00000005667
RP23-238I17.5,ENSMUSG00000107401
P3h4,ENSMUSG00000006931
Rpl31-ps6,ENSMUSG00000082532
Map3k7cl,ENSMUSG00000025610
Stmn1,ENSMUSG00000028832
1700042G07Rik,ENSMUSG00000078593
Col8a1,ENSMUSG00000068196
H1foo,ENSMUSG00000042279
Mocs2,ENSMUSG00000015536
Eaf2,ENSMUSG00000022838
Gm525,ENSMUSG00000072553
Wbp5,ENSMUSG00000042712
Gm11926,ENSMUSG00000084201
Gm15013,ENSMUSG00000098559
Coq3,ENSMUSG00000028247
Gm17109,ENSMUSG00000091132
Syt1,ENSMUSG00000035864
Abca5,ENSMUSG00000018800
Dok2,ENSMUSG00000022102
1600014C10Rik,ENSMUSG00000054676
Ptgs2os,ENSMUSG00000097028
Gm11497,ENSMUSG00000086919
Fgf9,ENSMUSG00000021974
RP24-549I13.2,ENSMUSG00000104677
RP24-80L24.2,ENSMUSG00000106528
Mab21l1,ENSMUSG00000056947
Hmgn2-ps1,ENSMUSG00000079067
Trav15d-2-dv6d-2,ENSMUSG00000105953
Kcnip1,ENSMUSG00000053519
Gm4792,ENSMUSG00000053420
RP24-80L24.1,ENSMUSG00000105293
Epha5,ENSMUSG00000029245
Drap1,ENSMUSG00000024914
Nbea,ENSMUSG00000027799
Celf2,ENSMUSG00000002107
Ikbip,ENSMUSG00000019975
Marveld3,ENSMUSG00000001672
Nudt12os,ENSMUSG00000086594
Ighv1-67,ENSMUSG00000095863
Olfr123,ENSMUSG00000045202
Necab2,ENSMUSG00000031837
Nudt12,ENSMUSG00000024228
Gm20524,ENSMUSG00000092302
Rps12l1,ENSMUSG00000078087
A830009L08Rik,ENSMUSG00000097182
Gm28818,ENSMUSG00000101211
A230056P14Rik,ENSMUSG00000087178
Gm5356,ENSMUSG00000069962
Gm29540,ENSMUSG00000099340
Gm35323,ENSMUSG00000102514
Gm8876,ENSMUSG00000083640
Gm14736,ENSMUSG00000082657
Mrgprb8,ENSMUSG00000050870
Nipa1,ENSMUSG00000047037
Gm29999,ENSMUSG00000102629
Kcnmb1,ENSMUSG00000020155
Gm15412,ENSMUSG00000085751
Gm15416,ENSMUSG00000085443
4930556G22Rik,ENSMUSG00000101764
Pex12,ENSMUSG00000018733
Bach1,ENSMUSG00000025612
Tenm4,ENSMUSG00000048078
Lrrc43,ENSMUSG00000063409
Gad2,ENSMUSG00000026787
4933417E11Rik,ENSMUSG00000101848
Kcnj10,ENSMUSG00000044708
Pigm,ENSMUSG00000050229
Nog,ENSMUSG00000048616
Gm37145,ENSMUSG00000102278
Wnt1,ENSMUSG00000022997
B230369F24Rik,ENSMUSG00000086350
Gm2018,ENSMUSG00000085798
Igkv14-126-1,ENSMUSG00000106372
Scmh1,ENSMUSG00000000085
RP23-234A12.5,ENSMUSG00000105005
4932411E22Rik,ENSMUSG00000047490
Dnlz,ENSMUSG00000075467
