gene,gene_name
1,KMT2E
2,BAK1
3,ARID4A
4,KITLG
5,FOXP3
6,PIK3CB
7,HIPK2
8,SPI1
9,TGFBR3
10,JMJD6
11,SENP1
12,NFE2L1
13,BAX
14,ADD1
15,MAEA
16,JAK2
17,ANKRD54
18,HMOX1
19,RBFOX2
20,HIF1A
21,MTHFD1
22,ACIN1
23,GATA1
24,ERCC2
25,GPI
26,RPS19
27,KLF1
28,DNASE2
29,JAK3
30,ETV2
31,CDK6
32,HOXA5
33,GATA3
34,HOXB6
35,SLC11A2
36,MAPK14
37,RHAG
38,SMAP1
39,SRF
40,VEGFA
41,HSPA9
42,SMAD5
43,BCL6
44,STAT1
45,ID2
46,EPAS1
47,PRDX1
48,FOXO3
49,PTBP3
50,CCR2
51,ACVR2A
52,INHBA
53,NCKAP1L
54,INHA
55,FAM210B
56,BMP4
57,MED1
58,THRA
59,PRMT1
60,KLF2
61,ZFP36
62,EPO
63,HBZ
64,ATPIF1
65,AMPD3
66,ETS1
67,ANXA1
68,ACVR1B
69,IL6
70,RPS6
71,RPS24
72,TMOD3
73,RB1
74,SOD1
75,ARNT
76,DYRK3
77,ITPKB
78,SLC25A38
79,ADAM17
80,BCL2L11
81,MERTK
82,CEBPG
83,KIT
84,FANCC
85,ALAS2
86,DMTN
87,FCER1G
88,PKNOX1
89,G6PD
90,ADAR
91,TAL1
92,TRIM58
93,NCSTN
94,FLVCR1
95,BAP1
96,HMGB2
97,CASP3
98,SFXN1
99,RPS14
100,JAM3
101,B2M
102,EPB42
103,AXL
104,STAT3
105,INPP5D
106,AHSP
107,KLF13
108,ZNF16
109,PIK3CD
110,BPGM
111,SP3
112,STAT5B
113,PTPN2
114,P4HTM
115,GATA2
116,ZFPM1
117,HCLS1
118,CXCR2
119,RPS17L
120,HCAR2
121,PDE4B
122,MAPK11
123,ZFP36L1
124,IKZF1
125,HMGB1
126,MB
127,LDB1
128,L3MBTL3
129,MAFB
130,C6orf25
131,TRIM10
132,LYN
