Supplementary Table 7: all_count_matrix.csv
Coverage counts from Stringtie for important IFNA genes and ADAR and APOBEC gene family. This is combined with variant calling substitution matrix for nucleotide and amino acid substitutions and the number of genes with editing sites that have a high or moderate impact on protein structure and function.

sampleName	ADAR1p110	ADAR1p150	ADAR1p80	ADARB1p201	ADARB1p3	ADARB1p6	ADARB2p1	ADARB2p4	ADAR.1	ADAR.B1	ADAR.B2	APOBEC1	APOBEC2	APOBEC3A	APOBEC3B	APOBEC3C	APOBEC3D	APOBEC3F	APOBEC3G	APOBEC3H	APOBEC4	IFNA1	IFNA10	IFNA13	IFNA14	IFNA16	IFNA17	IFNA2	IFNA21	IFNA4	IFNA5	IFNA6	IFNA7	IFNA8	IFNAR1	IFNAR2	IFNG	IFNGR1	IFNGR2	STAT1	STAT2	STAT3	STAT4	STAT6	TLR3	ACACB	ACP1	APOH	ARFGAP2	ATXN7	AURKAIP1	AZIN1	BEST1	BLCAP	C1QC	C1QL1	CACNA1D	CADPS	CCNI	CLTC	COPA	CPSF6	CRB2	CREB1	CTNNBL1	CYFIP2	DACT3	DLG5	DNTTIP1	ENO2	FAH	FBXL6	FIS1	FLNA	FLNB	GABRA3	GANAB	GLI1	GLUD2	GP2	GRIA2	GRIA3	GRIA4	GRIK1	GRIK5	GRIN3A	GRM4	HLTF	HMCN1	HTR2C	HTR4	IARS	IGFBP7	INHBA	KCNA1	KCNMA1	KCNQ5	KIF20B	MED21	MEX3B	MFN1	MOV10	MRPL28	NARF	NEIL1	NOP58	NOVA1	PABPC3	PCP4	POLDIP3	PRKAR2A	PTK2	PTPRN2	RARA	RIC3	RSU1	SON	SPSB3	SRP9	SS18L1	STXBP1	TLN1	TMEM63B	TTLL3	TTYH1	TUBGCP5	UBC	UNC80	USO1	VWF	ZNF397	ZNF414	genehighimpactADAReditingnormalized	genehighimpactAllnormalized	genehighimpactAPOBECeditingnormalized	genemoderateimpactADAReditingnormalized	genemoderateimpactAllnormalized	genemoderateimpactAPOBECeditingnormalized	transcripthighimpactADAReditingnormalized	transcripthighimpactAllnormalized	transcripthighimpactAPOBECeditingnormalized	transcriptmoderateimpactADAReditingnormalized	transcriptmoderateimpactAllnormalized	transcriptmoderateimpactAPOBECeditingnormalized	AtoCnorm	AtoGnorm	AtoTnorm	CtoAnorm	CtoGnorm	CtoTnorm	GtoAnorm	GtoCnorm	GtoTnorm	TtoAnorm.x	TtoCnorm	TtoGnorm	DtoGnorm	EtoGnorm	ItoVnorm	KtoEnorm	MtoVnorm	NtoDnorm	NtoSnorm	NtoTnorm	QtoRnorm	RtoGnorm	StoGnorm	TtoAnorm.y	YtoCnorm
G010Mock	439	1453	418	0	0	4	4	3	2739	13	7	3	9	0	9	25	3	9	5	0	23	9	7	8	4	4	4	1	7	9	13	1	17	6	1748	227	2	418	763	1706	1732	2911	0	51	32	649	536	0	2143	459	589	3818	280	465	0	700	53	123	890	5769	3520	1709	890	564	386	1497	474	3342	173	1430	150	443	850	32080	1266	20	2933	13	149	38	4393	861	420	196	682	98	14	705	18	2	28	2651	1760	11	28	55	183	514	314	518	792	517	546	647	338	630	555	23	17	1937	741	1602	450	245	91	821	2717	168	2590	584	141	4555	447	343	5325	461	9787	632	1041	19	647	44	0.02824	0.07765	0.03424	0.36745	0.88915	0.38192	0.04483	0.14084	0.06777	1.08893	2.9064	1.24036	1.27777	6.27132	0.88103	1.24036	1.62934	5.71644	5.79833	1.65934	1.26365	0.89903	6.36062	1.29577	0.02083	0.03247	0.1006	0.04165	0.08083	0.024	0.06318	0.00459	0.0833	0.03777	0.03918	0.11472	0.01553
G010Mock	688	692	0	0	0	6	0	0	2419	22	0	0	29	0	8	21	9	10	12	0	25	19	6	15	5	16	4	6	8	9	8	7	13	10	1583	234	9	400	779	1723	1533	2612	19	20	48	566	582	0	1784	221	514	4020	220	467	0	763	56	48	955	5598	3305	1676	1094	599	371	1482	353	2661	227	1202	134	507	902	33001	1136	47	2626	0	123	62	3625	848	209	172	468	96	45	806	44	9	69	2492	2363	31	50	104	173	546	361	435	750	399	761	688	308	621	530	26	17	1898	730	1599	583	190	86	969	2312	204	1415	679	145	4142	514	354	4172	460	8812	599	923	30	463	47	0.02971	0.08804	0.04203	0.37607	0.92785	0.39201	0.04637	0.15253	0.08188	1.10683	2.96181	1.22168	1.77237	8.11408	1.30609	1.74194	2.15025	7.68983	7.78801	2.1575	1.71622	1.3224	8.35682	1.79121	0.02101	0.03514	0.09637	0.04529	0.06884	0.02753	0.05761	0.00435	0.09202	0.03152	0.0384	0.09565	0.01884
G010Mock	1020	732	0	0	0	5	0	0	3041	29	0	0	8	0	29	16	0	13	11	0	6	5	3	6	8	3	4	3	2	3	3	4	5	2	833	278	0	418	796	1912	1613	3202	4	32	19	671	504	0	1982	443	458	3513	552	546	0	852	32	55	1149	6782	3637	2113	886	579	370	1792	472	3967	224	1433	88	335	689	32742	1321	13	3424	3	133	17	4511	847	311	174	649	54	17	689	10	4	6	2743	1694	12	26	38	173	754	186	597	857	552	634	575	244	798	517	29	14	2065	785	1620	573	241	40	976	3531	193	2515	528	181	4890	518	468	5125	463	8994	523	1144	9	514	69	0.03065	0.08469	0.03831	0.41457	0.99448	0.43352	0.05122	0.15324	0.07299	1.26386	3.28346	1.40138	1.10699	5.31274	0.75574	1.06586	1.42275	4.90584	4.93447	1.37839	1.05739	0.74445	5.38453	1.06666	0.02137	0.02863	0.11937	0.04436	0.08307	0.03226	0.0738	0.00605	0.10001	0.04154	0.05041	0.13106	0.02137
G010ZIKV	1341	1226	0	0	0	4	4	0	2736	39	4	4	9	2	28	14	4	9	5	0	22	12	2	6	4	6	1	4	2	2	3	2	3	5	1844	211	1	492	845	2085	2141	2297	2	20	58	614	769	0	2328	451	455	4627	274	564	3	571	44	121	808	5877	3477	2089	772	706	403	2091	434	2045	123	1451	124	327	1104	32866	1041	17	2207	17	159	23	4944	995	544	137	491	49	11	931	17	0	30	4360	1629	27	32	39	161	925	492	459	1145	493	625	561	436	674	368	18	22	1893	712	1930	557	198	36	1197	2186	251	3475	794	144	4474	440	501	4948	541	12822	549	1393	16	639	16	0.02366	0.07325	0.037	0.327	0.76124	0.32574	0.037	0.12838	0.07124	0.94929	2.43301	1.02179	1.4437	7.12006	1.0739	1.42104	1.83766	6.46328	6.51841	1.80393	1.42733	1.03136	7.20388	1.47995	0.01636	0.02794	0.07854	0.04028	0.05991	0.02568	0.05563	0.00503	0.07955	0.03046	0.03273	0.08559	0.01284
G010ZIKV	227	1581	184	11	0	3	0	0	2124	42	0	0	17	3	16	17	7	6	5	0	8	7	10	6	5	4	5	5	4	7	6	9	7	4	1583	156	2	479	705	1743	1808	2145	11	20	46	521	463	0	2019	234	498	4171	241	454	3	445	39	152	592	5099	3178	1380	720	481	355	1888	442	1806	142	761	145	352	1037	33273	1042	10	1725	25	163	27	3726	839	357	115	438	71	13	863	18	6	28	4568	1735	27	27	45	132	471	206	445	926	366	628	435	243	519	344	15	19	1779	611	1466	446	142	53	950	1721	181	1529	608	141	3802	412	246	3819	440	11189	479	1217	22	635	31	0.01908	0.05666	0.02613	0.27527	0.63582	0.27337	0.03415	0.10225	0.04845	0.80236	2.02802	0.85901	1.5822	7.35531	1.17625	1.49197	1.86816	6.76718	6.82498	1.9107	1.50628	1.14783	7.51898	1.57171	0.0124	0.02251	0.07058	0.03548	0.04445	0.02232	0.04826	0.00496	0.06639	0.029	0.03205	0.07039	0.01183
G010ZIKV	294	2262	227	0	0	9	0	0	3007	38	0	0	6	0	34	26	4	6	3	0	10	1	5	3	1	2	3	4	1	3	3	1	4	5	2026	263	1	476	881	1974	1771	2723	5	31	24	567	604	0	1743	457	480	4911	253	518	0	717	32	66	820	6624	3621	1834	875	754	452	1862	559	2658	182	1561	120	395	1229	35443	1412	9	2586	15	178	20	4403	1050	484	158	503	37	6	856	10	2	22	3890	1794	21	18	31	182	858	420	531	1006	449	638	560	299	592	627	24	31	2056	781	1856	574	185	53	1126	2312	258	1802	686	187	4641	539	365	5198	502	13244	544	1359	17	623	31	0.02403	0.06875	0.03211	0.3071	0.72673	0.31614	0.03663	0.12798	0.06566	0.89586	2.33885	1.00243	1.05786	5.30119	0.77192	1.03669	1.32095	4.74074	4.82923	1.32928	1.01837	0.77882	5.35875	1.03217	0.0207	0.02355	0.07707	0.03378	0.054	0.02141	0.05257	0.00428	0.07684	0.03235	0.03521	0.08469	0.01237
K048Mock	169	481	0	0	0	3	0	2	1971	17	2	0	0	0	18	9	3	10	7	0	11	1	1	0	0	1	2	2	0	1	1	1	1	2	763	82	0	135	185	396	456	607	0	5	17	193	237	0	376	263	103	940	290	366	0	103	4	57	1681	2428	1036	1050	285	273	191	714	125	1653	96	511	7	47	153	4449	427	2	1750	0	10	0	988	354	365	48	407	12	4	290	0	0	3	534	150	30	0	11	50	428	121	232	224	232	107	270	37	212	369	30	9	627	218	776	152	192	20	196	2272	30	889	206	174	1151	240	55	2500	116	3311	115	301	0	235	49	0.00747	0.01862	0.00843	0.07855	0.19679	0.07923	0.01277	0.03262	0.01617	0.24123	0.65777	0.25835	0.1359	0.65165	0.09323	0.12816	0.17328	0.5909	0.6261	0.17314	0.12979	0.09065	0.65219	0.13373	0.00516	0.00476	0.01916	0.0087	0.0178	0.00598	0.01685	0.00177	0.02283	0.00734	0.00788	0.0193	0.00285
K048Mock	326	1138	234	0	7	2	0	0	1795	20	0	0	2	0	18	9	4	3	7	0	4	0	3	0	0	0	2	2	0	0	0	0	0	0	768	95	1	166	173	399	417	527	0	3	15	134	173	0	326	202	112	1115	319	289	0	73	9	66	1465	2292	1026	1131	132	547	208	609	127	1599	113	463	10	25	143	3947	293	2	1402	2	11	0	665	380	510	44	397	8	2	266	0	0	0	580	166	25	4	7	44	506	137	282	270	155	127	372	33	213	318	41	0	542	259	861	130	181	19	151	2277	42	1052	200	196	1196	179	111	2586	147	3538	143	374	0	349	56	0.0058	0.01534	0.007	0.07559	0.17884	0.07269	0.01051	0.0262	0.01195	0.23137	0.6004	0.24175	0.11701	0.56803	0.08851	0.11363	0.14225	0.51961	0.5434	0.1443	0.11242	0.07825	0.57963	0.11556	0.0029	0.00278	0.01968	0.00942	0.01377	0.00628	0.01666	0.00133	0.02089	0.00833	0.00688	0.02355	0.00471
K048Mock	1211	519	0	0	0	3	0	0	1836	20	0	0	0	0	24	17	2	3	4	0	6	0	3	1	0	0	1	2	1	2	0	0	1	0	857	131	2	161	212	579	460	563	0	11	31	154	158	0	379	180	122	1164	269	383	0	69	11	78	2288	2499	1097	1205	120	293	214	751	141	1592	102	551	7	36	147	3824	326	4	1531	5	18	0	881	406	411	57	357	13	2	316	2	2	1	591	176	24	5	10	28	576	144	324	254	190	122	313	40	264	353	37	11	795	277	840	165	195	22	176	2233	41	1142	295	194	1120	236	76	2993	161	4048	102	452	0	281	41	0.0063	0.01825	0.00854	0.07598	0.18215	0.07363	0.01131	0.03201	0.01515	0.23913	0.60962	0.23924	0.12719	0.6173	0.09433	0.12826	0.16187	0.58945	0.60055	0.16123	0.13029	0.0939	0.6364	0.12815	0.00107	0.0016	0	0.0032	0	0.00224	0.00779	0	0.01003	0	0	0	0.04226
K048Zika	482	3692	820	0	0	0	0	3	5500	23	3	0	4	0	29	38	22	44	55	0	8	0	1	0	2	1	1	0	1	1	1	0	1	0	878	112	1	235	173	7012	2746	1176	0	15	395	190	279	0	443	333	101	832	242	325	0	122	8	127	1052	2752	1116	1010	1058	201	163	501	79	1567	105	546	9	95	156	5085	532	5	2740	7	11	0	1067	395	268	57	581	27	2	311	0	2	2	723	430	32	5	6	86	253	136	195	314	938	121	309	92	242	406	25	12	488	192	663	155	186	30	154	2840	34	664	201	177	1317	384	129	4010	158	3550	206	430	3	119	41	0.00808	0.02112	0.00991	0.09622	0.22763	0.09348	0.01382	0.03716	0.01812	0.29165	0.755	0.30495	0.18891	0.92853	0.13181	0.18292	0.24197	0.85591	0.86569	0.24002	0.18513	0.13337	0.94	0.19113	0.00143	0.00248	0	0.00287	0	0.00156	0.01043	0	0.01408	0	0	0	0.05254
