gene,gene_name
1,ACACA
2,ACACB
3,ACKR3
4,ACP1
5,ADAMTS1
6,AKT1
7,AKT1S1
8,AMOT
9,ANXA1
10,ARF6
11,ARHGEF15
12,ARRB2
13,ATF2
14,ATF4
15,ATF6
16,BCAR1
17,BCL2
18,BCL2L1
19,BIN1
20,BMP10
21,BMX
22,CAMKK2
23,CAPN2
24,CAV1
25,CBL
26,CCL2
27,CCND1
28,CDC42
29,CDH5
30,CDKN1B
31,CFL1
32,CLTC
33,CREB1
34,CRK
35,CSK
36,CTGF
37,CTNNA1
38,CTNNB1
39,CTNND1
40,CXCL8
41,CYP2C8
42,DKK1
43,DLL4
44,DNAJB9
45,DOK1
46,EEA1
47,EGR1
48,EGR3
49,EIF2A
50,EIF2AK3
51,EIF4E
52,ELK1
53,EPN1
54,EPS15
55,ERG
56,ERN1
57,ETS1
58,EZR
59,F3
60,FADD
61,FAF1
62,FAS
63,FBXW11
64,FGA
65,FGB
66,FGG
67,FHL2
68,FLNB
69,FLT1
70,FOXO1
71,FOXO3
72,FOXO4
73,FRS2
74,FYN
75,GAB1
76,GIPC1
77,GJA1
78,GPC1
79,GRB10
80,GRB2
81,GSK3B
82,HBEGF
83,HDAC1
84,HDAC4
85,HDAC5
86,HDAC7
87,HDAC9
88,HERPUD1
89,HGS
90,HRAS
91,HSP90AA1
92,HSPA1A
93,HSPB1
94,ICAM1
95,IGFBP7
96,IQGAP1
97,ITCH
98,ITGAV
99,ITGB1
100,ITGB3
101,ITGB5
102,ITPR1
103,JAG1
104,JUN
105,kb
106,KL
107,LIMK1
108,MAP2K1
109,MAP2K2
110,MAP2K3
111,MAP2K4
112,MAP2K6
113,MAP2K7
114,MAP3K5
115,MAPK1
116,MAPK12
117,MAPK14
118,MAPK3
119,MAPK8
120,MAPK9
121,MAPKAP1
122,MAPKAPK2
123,MAPKAPK5
124,MEF2C
125,MKNK1
126,MLLT4
127,MLST8
128,MMP10
129,MMP14
130,MMP2
131,MMRN2
132,MTOR
133,MYH9
134,MYL2
135,MYO6
136,NCF1
137,NCF2
138,NCK1
139,NCL
140,NDRG1
141,NFATC1
142,NFATC2
143,NFKB1
144,NFKBIA
145,NOS3
146,NOTCH4
147,NR4A1
148,NR4A2
149,NR4A3
150,NRP1
151,NRP2
152,OCLN
153,PAK1
154,PAK2
155,PDPK1
156,PFN1
157,PGF
158,PIK3CA
159,PIK3R1
160,PIK3R2
161,PKD1
162,PKD2
163,PLA2G4A
164,PLA2G5
165,PLAU
166,PLAUR
167,PLCB3
168,PLCG1
169,PPP3CA
170,PRKAA1
171,PRKAA2
172,PRKCA
173,PRKCB
174,PRKCD
175,PRKCE
176,PRKCI
177,PRKCZ
178,PRKG1
179,PTGS2
180,PTK2
181,PTK2B
182,PTPN1
183,PTPN11
184,PTPN6
185,PTPN9
186,PTPRJ
187,PTPRZ1
188,PXN
189,RAB11A
190,RAB4A
191,RAB5A
192,RAC1
193,RACK1
194,RAF1
195,RAP1A
196,RAP1B
197,RAPGEF1
198,RCAN1
199,RCAN2
200,RELA
201,RHOA
202,RHOC
203,RHOJ
204,RICTOR
205,RND1
206,ROCK1
207,ROCK2
208,RPS6
209,RPS6KA5
210,RPS6KB1
211,RPTOR
212,SELE
213,SH2D2A
214,SHB
215,SHC1
216,SHC2
217,SLC8A1
218,SMARCA2
219,SOD2
220,SPHK1
221,SRC
222,SRF
223,STAM
224,STAT1
225,STAT3
226,STAT6
227,TCEB3
228,TEAD4
229,TNFRSF10C
230,TNXB
231,TPCN2
232,TRPC1
233,TXNIP
234,VAV2
235,VCAM1
236,VCL
237,VEGFA
238,VEGFR2
239,WASF1
240,YWHAE
