gene,gene_name
1,IGKV1-8
2,IGHV4-31
3,IGHV4-38-2
4,IGKV1-13
5,IGKV2-40
6,IGKJ1
7,IGLJ1
8,TRAV1-1
9,IGHJ1
10,IGHV5-10-1
11,IGHV3-64D
12,IGHV7-4-1
13,IGHD1-1
14,IGHV4-30-4
15,IGHV3-43D
16,IGHV3-30-5
17,IGHV3-30-3
18,IGHV1-8
19,LILRA6
20,BTN3A3
21,IL18BP
22,CD8B2
23,BTNL8
24,RIPK3
25,""""""
26,BTN3A2
27,MICA
28,RAET1E
29,MICB
30,IGKV6-21
31,IGKV1-6
32,IGKV1D-8
33,IGKV3D-15
34,IGLV5-45
35,FCAMR
36,IGKV6D-21
37,IGLV5-52
38,IGKV3D-11
39,IGKV2D-26
40,IGKV1D-13
41,IGKV1D-43
42,IGLV9-49
43,IGLV1-36
44,IGLV5-39
45,IGKV1-9
46,IGKV2-24
47,IGKV3D-7
48,IGKV1-27
49,IGKV1D-17
50,IGKV2D-29
51,IGLV4-3
52,IGLV3-9
53,IGLV3-10
54,IGLV3-12
55,IGLV3-16
56,IGLV2-18
57,IGLV3-22
58,IGLV5-37
59,IGLV7-46
60,IGLV10-54
61,IGLV4-60
62,IGLV8-61
63,IGLV4-69
64,FCRL4
65,IGLC3
66,IGLC2
67,CLEC4G
68,GAPT
69,CD8A
70,CD48
71,Q4G0T1
72,IFNG
73,LILRB5
74,C4BPA
75,STX7
76,FCER2
77,NECTIN2
78,PVR
79,C4BPB
80,TNFSF13B
81,c1q_human
82,FAM49B
83,IL1RL1
84,NCR3
85,SASH3
86,SLAMF7
87,LILRA1
88,CLC
89,CD7
90,MASP2
91,GNL1
92,C1RL
93,SUSD4
94,NLRP10
95,TNFRSF13C
96,SAMSN1
97,CD226
98,SIGLEC10
99,TNFSF13
100,RIPK2
101,IL23A
102,ADGRE1
103,interleukin-23_human
104,SIT1
105,IL20RB
106,IL27RA
107,BTLA
108,APLF
109,ATAD5
110,TNFRSF17
111,PRR7
112,IL27
113,C8B
114,C8G
115,C8A
116,C1R
117,C1QA
118,C1QB
119,CFI
120,DENND1B
121,MPTX1
122,APCS
123,LY9
124,C1S
125,CRP
126,IL18R1
127,UNG
128,IL7R
129,RSAD2
130,ZBTB1
131,HPX
132,MSH6
133,LTA
134,EXOSC6
135,LOXL3
136,CR1
137,TP53BP1
138,MLH1
139,CLCF1
140,THOC1
141,EXOSC3
142,ZBTB7B
143,IL12RB1
144,TFRC
145,STAT6
146,HLX
147,IL4
148,ZP3
149,C3
150,NSD2
151,RIF1
152,DUSP22
153,IL4R
154,CD80
155,IGLL5
156,IGHV3-38
157,LOC642131
158,IGLV7-43
159,IGHV1-2
160,C2
161,KLHL6
162,IGHV4-30-2
163,IGHV4-34
164,IGKV4-1
165,IL18RAP
166,C7
167,GCNT3
168,TBX21
169,KDELR1
170,IGHD
171,IGHA2
172,IGHA1
173,IGKV1-12
174,C1QC
175,S4R3C0
176,IGHV2-5
177,IGHV2-70
178,A0A087WW49
179,IGKV1D-39
180,IGHV3-49
181,IGHV1-45
182,IGLL1
183,IGKC
184,TRBC2
185,IGHV7-81
186,IGHV6-1
187,IGHV5-51
188,IGHV4OR15-8
189,IGHV4-61
190,IGHV4-59
191,IGHV4-4
192,IGHV4-39
193,IGHV3OR16-13
194,IGHV3OR16-12
195,IGHV3OR16-10
196,IGHV3-74
197,IGHV3-73
198,IGHV3-72
199,IGHV3-7
200,IGHV3-66
201,IGHV3-53
202,IGHV3-48
203,IGHV3-43
204,IGHV3-35
205,IGHV3-33
206,IGHV3-23
207,IGHV3-21
208,IGHV3-20
209,IGHV3-16
210,IGHV3-15
211,IGHV3-13
212,IGHV3-11
213,IGHV2OR16-5
214,IGHV1OR15-9
215,IGHV1OR15-1
216,IGHV1-69-2
217,IGHV1-69
218,IGHV1-58
219,IGHV1-46
220,IGHV1-3
221,IGHV1-24
222,IGHM
223,IGHG4
224,IGHG3
225,IGHG2
226,IGHG1
227,IGHE
228,IGHV3OR15-7
229,IGHV3OR16-8
230,IGHV4-28
231,IGLC7
232,IGHV3-64
233,IGHV3OR16-9
234,IGHV1OR21-1
235,RFTN1
236,IL13RA2
237,IGHV1-18
238,IGHV2-26
239,IGHV3-30
240,IGHV1-69D
241,IGKV2-30
242,IGKV5-2
243,IGHV2-70D
244,IGKV3D-20
245,MYO1G
246,IGKV2D-30
247,IGKV2-28
248,TRBC1
249,IGHV3-9
250,IGLV6-57
251,IGLV3-27
252,IGLV3-25
253,IGLV3-1
254,IGLV3-19
255,IGLV2-8
256,IGLV2-11
257,IGLV2-23
258,IGLV2-14
259,IGLV1-40
260,IGLV1-51
261,IGLV1-47
262,IGLV1-44
263,IGKV3-15
264,IGKV2D-28
265,IGKV2D-40
266,IGKV1D-12
267,IGKV1-5
268,IGKV1D-16
269,IGKV1-17
270,IGKV1-39
271,IGKV1-33
272,IGKV1D-33
273,IGKV3-11
274,IGKV1-16
275,TRDC
276,KDM5D
277,IGLV3-21
278,IGKV2-29
279,IGLC6
280,IGLC1
281,THEMIS
282,SH2D1B
283,BTN3A1
284,CD1A
285,CLEC4A
286,LAIR1
287,CD8B
288,CD1C
289,WAS
290,LILRA3
291,ORAI1
292,CD1E
293,CD1B
294,SH2D1A
295,CLEC10A
296,NDFIP1
297,HMHB1
298,8-Mar
299,HLA-E
300,MSH2
301,FCER1G
302,FOXJ1
303,RC3H1
304,BTK
305,IL33
306,HSPD1
307,CD28
308,SOCS5
309,MALT1
310,PRKCQ
311,JAK3
312,IL23R
313,SLC11A1
314,IL12A
315,MAP3K7
316,B2M
317,FCGR2B
318,PPP3CB
319,PTPRC
320,CD4
321,IFNB1
322,IFNA2
323,PAXIP1
324,TNFSF4
325,CR2
326,IL2
327,C6
328,XCL1
329,SLAMF6
330,SEMA4A
331,EBI3
332,C9
333,C4B
334,C4A
335,POU2F2
336,HLA-DQB1
337,UNC13D
338,IGKV3-20
339,MBL2
340,EXO1
341,FOXP3
342,BMX
343,CD79B
344,TNFRSF13B
345,UNC93B1
346,LILRB3
347,LAT2
348,LIME1
349,ICOSLG
350,ERAP2
351,CD79A
352,SUPT6H
353,CLEC4M
354,FCGR1B
355,HAVCR2
356,ARG1
357,ADA
358,TRAF2
359,CCL19
360,CEACAM1
361,LILRB1
362,FZD5
363,SMAD7
364,TRAF6
365,PTPN6
366,CD40
367,IL6
368,HFE
369,CCR2
370,NLRP3
371,BCL6
372,FADD
373,IL12B
374,IL6ST
375,IRF7
376,ALOX15
377,TRPM4
378,LAX1
379,ITK
380,MCOLN2
381,ZNF683
382,CD84
383,PKN1
384,CD247
385,DCLRE1C
386,IFNW1
387,IFNA8
388,IFNA7
389,IFNA6
390,IFNA5
391,IFNA4
392,IFNA21
393,IFNA17
394,IFNA16
395,IFNA14
396,IFNA10
397,IFNA1
398,RNF19B
399,TEC
400,IFNK
401,IFNE
402,CLEC6A
403,JCHAIN
404,CLEC4C
405,SKAP1
406,PAG1
407,ALCAM
408,TARM1
409,TXK
410,CRACR2A
411,SPN
412,RORC
413,RNF168
414,INPP5D
415,SLA2
416,CCR6
417,CD27
418,SWAP70
419,IL31RA
420,RAB27A
421,BATF
422,AICDA
423,RELB
424,CTSC
425,CXCL13
426,AIRE
427,CD46
428,SERPING1
429,NFKB2
430,CD55
431,TLR8
432,RNF8
433,C5
434,EMP2
435,LIG4
436,ANXA1
437,TRIM27
438,EIF2AK4
439,AGER
440,PRKCZ
441,CLEC4D
442,CTSL
443,CD6
444,CTLA4
445,LILRB4
446,OTUB1
447,CD209
448,CAMK4
449,ERAP1
450,SLAMF1
451,CD3D
452,MCOLN1
453,MEF2C
454,LAMP3
455,VTCN1
456,TNFAIP3
457,OTUD7B
458,TAP2
459,TAP1
460,JAM3
461,CD3G
462,TRAT1
463,CD244
464,TFE3
465,TFEB
466,IRF4
467,CD40LG
468,NBN
469,ERCC1
470,JAG1
471,CTSH
472,GATA3
473,P2RX7
474,IL1B
475,TGFB1
476,TNF
477,URS000039ED8D_9606
478,ADAM17
479,BCL10
480,DUSP10
481,TLR6
482,IRF1
483,BCL3
484,IL18
485,RORA
486,C1QBP
487,HRAS
488,KLRK1
489,EOMES
490,RNF125
491,TNFRSF21
492,TNFSF18
493,DBNL
494,PIK3CD
495,TNFRSF11A
496,IL10
497,HMGB1
498,ZAP70
499,RAG1
500,CD86
501,LAT
502,GPR183
503,SYK
504,CTSS
505,CD74
506,PRKCD
507,DLG1
508,TLR4
509,STAT3
510,LEF1
511,PYCARD
512,ICAM1
513,CLU
514,LILRB2
515,PRDM1
516,PIK3CB
517,PRKCB
518,FGA
519,CSK
520,ARG2
521,CD3E
522,PRKD2
523,FGB
524,SIRT1
525,NEDD4
526,TRPV1
527,PIK3CA
528,PIK3CG
529,TSC1
530,TRPV4
531,FYN
532,JAK2
533,LYN
534,PTK2B
