order,sub_names
23,*_*
24,?_*
25,Ato*
26,Cto*
27,Dto*
28,Eto*
29,Fto*
30,Gto*
31,Hto*
32,Ito*
33,Kto*
34,Lto*
35,Mto*
36,Nto*
37,Pto*
38,Qto*
39,Rto*
40,Sto*
41,Tto*
42,Vto*
43,Wto*
44,Yto*
45,*to?
46,?to?
47,Ato?
48,Cto?
49,Dto?
50,Eto?
51,Fto?
52,Gto?
53,Hto?
54,Ito?
55,Kto?
56,Lto?
57,Mto?
58,Nto?
59,Pto?
60,Qto?
61,Rto?
62,Sto?
63,Tto?
64,Vto?
65,Wto?
66,Yto?
67,*toA
68,?toA
69,AtoA
70,CtoA
71,DtoA
72,EtoA
73,FtoA
74,GtoA
75,HtoA
76,ItoA
77,KtoA
78,LtoA
79,MtoA
80,NtoA
81,PtoA
82,QtoA
83,RtoA
84,StoA
85,TtoA
86,VtoA
87,WtoA
88,YtoA
89,*toC
90,?toC
91,AtoC
92,CtoC
93,DtoC
94,EtoC
95,FtoC
96,GtoC
97,HtoC
98,ItoC
99,KtoC
100,LtoC
101,MtoC
102,NtoC
103,PtoC
104,QtoC
105,RtoC
106,StoC
107,TtoC
108,VtoC
109,WtoC
110,YtoC
111,*toD
112,?toD
113,AtoD
114,CtoD
115,DtoD
116,EtoD
117,FtoD
118,GtoD
119,HtoD
120,ItoD
121,KtoD
122,LtoD
123,MtoD
124,NtoD
125,PtoD
126,QtoD
127,RtoD
128,StoD
129,TtoD
130,VtoD
131,WtoD
132,YtoD
133,*toE
134,?toE
135,AtoE
136,CtoE
137,DtoE
138,EtoE
139,FtoE
140,GtoE
141,HtoE
142,ItoE
143,KtoE
144,LtoE
145,MtoE
146,NtoE
147,PtoE
148,QtoE
149,RtoE
150,StoE
151,TtoE
152,VtoE
153,WtoE
154,YtoE
155,*toF
156,?toF
157,AtoF
158,CtoF
159,DtoF
160,EtoF
161,FtoF
162,GtoF
163,HtoF
164,ItoF
165,KtoF
166,LtoF
167,MtoF
168,NtoF
169,PtoF
170,QtoF
171,RtoF
172,StoF
173,TtoF
174,VtoF
175,WtoF
176,YtoF
177,*toG
178,?toG
179,AtoG
180,CtoG
181,DtoG
182,EtoG
183,FtoG
184,GtoG
185,HtoG
186,ItoG
187,KtoG
188,LtoG
189,MtoG
190,NtoG
191,PtoG
192,QtoG
193,RtoG
194,StoG
195,TtoG
196,VtoG
197,WtoG
198,YtoG
199,*toH
200,?toH
201,AtoH
202,CtoH
203,DtoH
204,EtoH
205,FtoH
206,GtoH
207,HtoH
208,ItoH
209,KtoH
210,LtoH
211,MtoH
212,NtoH
213,PtoH
214,QtoH
215,RtoH
216,StoH
217,TtoH
218,VtoH
219,WtoH
220,YtoH
221,*toI
222,?toI
223,AtoI
224,CtoI
225,DtoI
226,EtoI
227,FtoI
228,GtoI
229,HtoI
230,ItoI
231,KtoI
232,LtoI
233,MtoI
234,NtoI
235,PtoI
236,QtoI
237,RtoI
238,StoI
239,TtoI
240,VtoI
241,WtoI
242,YtoI
243,*toK
244,?toK
245,AtoK
246,CtoK
247,DtoK
248,EtoK
249,FtoK
250,GtoK
