gene_name,gene_id
5S_rRNA_1,ENSG00000271924
5S_rRNA_2,ENSG00000272435
5S_rRNA_3,ENSG00000272253
5S_rRNA_4,ENSG00000261122
5S_rRNA_5,ENSG00000272351
5S_rRNA_6,ENSG00000201285
5S_rRNA_7,ENSG00000212595
7SK_1,ENSG00000249352
7SK_2,ENSG00000271765
7SK_3,ENSG00000254144
7SK_4,ENSG00000271818
7SK_5,ENSG00000260682
7SK_6,ENSG00000232512
7SK_7,ENSG00000271814
A1BG,ENSG00000121410
A1BG_AS1,ENSG00000268895
A1CF,ENSG00000148584
A2M,ENSG00000175899
A2M_AS1,ENSG00000245105
A2ML1,ENSG00000166535
A2ML1_AS1,ENSG00000256661
A2ML1_AS2,ENSG00000256904
A2MP1,ENSG00000256069
A3GALT2,ENSG00000184389
A4GALT,ENSG00000128274
A4GNT,ENSG00000118017
AAAS,ENSG00000094914
AACS,ENSG00000081760
AACSP1,ENSG00000250420
AADAC,ENSG00000114771
AADACL2,ENSG00000197953
AADACL3,ENSG00000188984
AADACL4,ENSG00000204518
AADAT,ENSG00000109576
AAED1,ENSG00000158122
AAGAB,ENSG00000103591
AAK1,ENSG00000115977
AAMDC,ENSG00000087884
AAMP,ENSG00000127837
AANAT,ENSG00000129673
AAR2,ENSG00000131043
AARD,ENSG00000205002
AARS,ENSG00000090861
AARS2,ENSG00000124608
AARSD1,ENSG00000266967
AASDH,ENSG00000157426
AASDHPPT,ENSG00000149313
AASS,ENSG00000008311
AATF,ENSG00000108270
AATK,ENSG00000181409
AATK_AS1,ENSG00000225180
AB015752.3,ENSG00000254180
AB019438.66,ENSG00000228757
AB019440.1,ENSG00000221180
AB019440.50,ENSG00000271201
AB019441.29,ENSG00000225200
ABAT,ENSG00000183044
ABC12_47043100G14.2,ENSG00000237215
ABC7_42389800N19.1,ENSG00000226210
ABC7_43041300I9.1,ENSG00000271153
ABCA1,ENSG00000165029
ABCA10,ENSG00000154263
ABCA11P,ENSG00000251595
ABCA12,ENSG00000144452
ABCA13,ENSG00000179869
ABCA17P,ENSG00000238098
ABCA2,ENSG00000107331
ABCA3,ENSG00000167972
ABCA4,ENSG00000198691
ABCA5,ENSG00000154265
ABCA6,ENSG00000154262
ABCA7,ENSG00000064687
ABCA8,ENSG00000141338
ABCA9,ENSG00000154258
ABCA9_AS1,ENSG00000231749
ABCB1,ENSG00000085563
ABCB10,ENSG00000135776
ABCB10P1,ENSG00000259689
ABCB10P3,ENSG00000261524
ABCB10P4,ENSG00000260053
ABCB11,ENSG00000073734
ABCB4,ENSG00000005471
ABCB5,ENSG00000004846
ABCB6,ENSG00000115657
ABCB7,ENSG00000131269
ABCB8,ENSG00000197150
ABCB9,ENSG00000150967
ABCC1,ENSG00000103222
ABCC10,ENSG00000124574
ABCC11,ENSG00000121270
ABCC12,ENSG00000140798
ABCC13,ENSG00000243064
ABCC2,ENSG00000023839
ABCC3,ENSG00000108846
ABCC4,ENSG00000125257
ABCC5,ENSG00000114770
ABCC5_AS1,ENSG00000223882
ABCC6,ENSG00000091262
ABCC6P1,ENSG00000256340
ABCC6P2,ENSG00000255277
ABCC8,ENSG00000006071
ABCC9,ENSG00000069431
ABCD1,ENSG00000101986
ABCD1P2,ENSG00000215151
ABCD1P3,ENSG00000261233
ABCD1P4,ENSG00000225293
ABCD1P5,ENSG00000214330
ABCD2,ENSG00000173208
ABCD3,ENSG00000117528
ABCD4,ENSG00000119688
ABCE1,ENSG00000164163
ABCF1,ENSG00000204574
ABCF2,ENSG00000033050
ABCF2P1,ENSG00000242159
ABCF2P2,ENSG00000228769
ABCF3,ENSG00000161204
ABCG1,ENSG00000160179
ABCG2,ENSG00000118777
ABCG4,ENSG00000172350
ABCG5,ENSG00000138075
ABCG8,ENSG00000143921
ABHD1,ENSG00000143994
ABHD10,ENSG00000144827
ABHD11,ENSG00000106077
ABHD12,ENSG00000100997
ABHD12B,ENSG00000131969
ABHD13,ENSG00000139826
ABHD14A,ENSG00000248487
ABHD14A_ACY1,ENSG00000114786
ABHD14B,ENSG00000114779
ABHD15,ENSG00000168792
ABHD16A,ENSG00000204427
ABHD16B,ENSG00000183260
ABHD17A,ENSG00000129968
ABHD17AP1,ENSG00000203835
ABHD17AP2,ENSG00000198658
ABHD17AP3,ENSG00000250536
ABHD17AP4,ENSG00000229107
ABHD17AP5,ENSG00000182502
ABHD17AP6,ENSG00000226981
ABHD17B,ENSG00000107362
ABHD17C,ENSG00000136379
ABHD2,ENSG00000140526
ABHD3,ENSG00000158201
ABHD4,ENSG00000100439
ABHD5,ENSG00000011198
ABHD6,ENSG00000163686
ABHD8,ENSG00000127220
ABI1,ENSG00000136754
ABI2,ENSG00000138443
ABI3,ENSG00000108798
ABI3BP,ENSG00000154175
ABL1,ENSG00000097007
ABL2,ENSG00000143322
ABLIM1,ENSG00000099204
ABLIM2,ENSG00000163995
ABLIM3,ENSG00000173210
ABO,ENSG00000175164
ABR,ENSG00000159842
ABRA,ENSG00000174429
ABRACL,ENSG00000146386
ABT1,ENSG00000146109
ABT1P1,ENSG00000250496
ABTB1,ENSG00000114626
ABTB2,ENSG00000166016
AC000003.1,ENSG00000221486
AC000003.2,ENSG00000264194
AC000029.1,ENSG00000221069
AC000032.2,ENSG00000260246
AC000036.4,ENSG00000225929
AC000041.8,ENSG00000242156
AC000067.1,ENSG00000225007
AC000068.10,ENSG00000273212
AC000068.5,ENSG00000185065
AC000068.9,ENSG00000273300
AC000077.2,ENSG00000230485
AC000078.5,ENSG00000232926
AC000081.2,ENSG00000230194
AC000089.3,ENSG00000235776
AC000095.9,ENSG00000270393
AC000099.1,ENSG00000236340
AC000110.1,ENSG00000236105
AC000111.3,ENSG00000232661
AC000111.4,ENSG00000237974
AC000111.5,ENSG00000234001
AC000111.6,ENSG00000083622
AC000120.7,ENSG00000243107
AC000123.4,ENSG00000224138
AC000124.1,ENSG00000226770
AC000362.1,ENSG00000230820
AC000367.1,ENSG00000224981
AC000370.2,ENSG00000241921
AC000374.1,ENSG00000227249
AC000403.1,ENSG00000264908
AC002044.4,ENSG00000272330
AC002056.3,ENSG00000213683
AC002056.5,ENSG00000254499
AC002059.10,ENSG00000273216
AC002064.4,ENSG00000234459
AC002064.5,ENSG00000225498
AC002066.1,ENSG00000237813
AC002066.2,ENSG00000216076
AC002069.5,ENSG00000228928
AC002069.6,ENSG00000235639
AC002070.1,ENSG00000222647
AC002075.3,ENSG00000225898
AC002075.4,ENSG00000237729
AC002076.10,ENSG00000234695
AC002115.5,ENSG00000224910
AC002115.9,ENSG00000267626
AC002116.7,ENSG00000267698
AC002116.8,ENSG00000248101
AC002117.1,ENSG00000224505
AC002127.2,ENSG00000227979
AC002127.4,ENSG00000233420
AC002128.5,ENSG00000271366
AC002306.1,ENSG00000259242
AC002310.10,ENSG00000260494
AC002310.12,ENSG00000235560
AC002310.13,ENSG00000260869
AC002310.17,ENSG00000261588
AC002310.7,ENSG00000239791
AC002314.4,ENSG00000267190
AC002331.1,ENSG00000236481
AC002365.1,ENSG00000234469
AC002366.3,ENSG00000232392
AC002368.4,ENSG00000237741
AC002383.2,ENSG00000227863
AC002386.1,ENSG00000230941
AC002395.1,ENSG00000266269
AC002398.11,ENSG00000267439
AC002398.12,ENSG00000267328
AC002398.13,ENSG00000267049
AC002398.5,ENSG00000225872
AC002398.9,ENSG00000188223
AC002400.1,ENSG00000261528
AC002401.1,ENSG00000236472
AC002429.4,ENSG00000231153
AC002429.5,ENSG00000236197
AC002451.1,ENSG00000269449
AC002451.3,ENSG00000231170
AC002454.1,ENSG00000237819
AC002456.2,ENSG00000223969
AC002463.3,ENSG00000223646
AC002465.2,ENSG00000238202
AC002467.7,ENSG00000241764
AC002472.1,ENSG00000269103
AC002472.11,ENSG00000226872
AC002472.13,ENSG00000187905
AC002477.1,ENSG00000264392
AC002480.2,ENSG00000238033
AC002480.3,ENSG00000232759
AC002480.4,ENSG00000232949
AC002480.5,ENSG00000225541
AC002485.1,ENSG00000221281
AC002486.2,ENSG00000231525
AC002486.3,ENSG00000223866
AC002511.1,ENSG00000205786
AC002511.2,ENSG00000233214
AC002511.3,ENSG00000232680
AC002519.6,ENSG00000261457
AC002519.8,ENSG00000259810
AC002523.1,ENSG00000242186
AC002539.1,ENSG00000230258
AC002539.2,ENSG00000252100
AC002542.2,ENSG00000227532
AC002543.2,ENSG00000235945
AC002550.5,ENSG00000261312
AC002551.1,ENSG00000261736
AC002553.1,ENSG00000227782
AC002553.4,ENSG00000233979
AC002558.1,ENSG00000221016
AC002978.1,ENSG00000221259
AC002979.1,ENSG00000221386
AC002981.1,ENSG00000252111
AC002984.2,ENSG00000267005
AC002985.3,ENSG00000268193
AC002992.1,ENSG00000252586
AC002994.1,ENSG00000196861
AC003001.1,ENSG00000264517
AC003002.4,ENSG00000268133
AC003002.6,ENSG00000269533
AC003003.5,ENSG00000188477
AC003005.2,ENSG00000268266
AC003005.4,ENSG00000268107
AC003006.1,ENSG00000264453
AC003006.7,ENSG00000269026
AC003009.1,ENSG00000262011
AC003009.2,ENSG00000262235
AC003029.1,ENSG00000248594
AC003035.1,ENSG00000264331
AC003043.1,ENSG00000268413
AC003045.1,ENSG00000214684
AC003051.1,ENSG00000227517
AC003075.4,ENSG00000237773
AC003079.1,ENSG00000203505
AC003080.4,ENSG00000234358
AC003084.2,ENSG00000234826
AC003088.1,ENSG00000226965
AC003090.1,ENSG00000223561
AC003092.1,ENSG00000236453
AC003092.2,ENSG00000236938
AC003101.1,ENSG00000228768
