gene,gene_name
1,CRYBA4
2,RD3
3,DGCR2
4,CRYGA
5,CRYBB2
6,OTOR
7,WASF3
8,OPA3
9,H3BP45
10,FAM65B
11,TMIE
12,NAV2
13,KLK8
14,NCMAP
15,SOBP
16,MFRP
17,KRT12
18,EYS
19,PTCHD1
20,LRIG1
21,CRYGB
22,C1QL1
23,CRYGD
24,GJC3
25,LAMC3
26,TLX3
27,FIG4
28,RNF10
29,TENM4
30,MYRF
31,TYMP
32,C2orf71
33,GATM
34,GJA10
35,COL11A2
36,PRPH2
37,ABLIM1
38,GJA8
39,OR10A4
40,BFSP2
41,CCDC66
42,BBS9
43,TTC8
44,MARVELD2
45,WHRN
46,SEMA5B
47,NCAM2
48,TANC1
49,RPGRIP1
50,LCE1D
51,CNNM4
52,SHROOM4
53,DOPEY2
54,COCH
55,IAPP
56,DFNA5
57,DNAJC19
58,OR8A1
59,NLGN4Y
60,OMP
61,OLFM2
62,SRRM4
63,PBX3
64,TNNI3
65,FGF12
66,GSX2
67,TSHZ3
68,UBA6
69,HOXD1
70,KCNQ4
71,ZNF513
72,NPY1R
73,AGTPBP1
74,TUB
75,RP1L1
76,TGFBI
77,GPR98
78,ROM1
79,PDE6C
80,AFF2
81,FABP7
82,VSX2
83,LRTOMT
84,CALCA
85,PITPNA
86,POU6F2
87,USH1G
88,FSCN2
89,POMK
90,SLC45A2
91,CABP4
92,PCDH15
93,MYO15A
94,UBR3
95,KERA
96,RIC8A
97,MIP
98,GJB6
99,TNR
100,MTMR2
101,PARD3
102,TNFRSF21
103,MAG
104,DICER1
105,NOV
106,CARTPT
107,NPY2R
108,HMX3
109,NRXN2
110,PGAP1
111,SLITRK6
112,DRGX
113,TPP1
114,HRH2
115,STRC
116,SHC3
117,SCN2A
118,CHRND
119,DDHD2
120,HOXB8
121,NPAS1
122,CHL1
123,GRXCR1
124,IRX5
125,ALOXE3
126,LHX8
127,CNTNAP1
128,CLDN5
129,SCN9A
130,GPR143
131,RS1
132,VSX1
133,TMOD2
134,STRA6
135,NRGN
136,CTNNA2
137,CATSPER2
138,LHFPL5
139,NDP
140,TRPM1
141,PKD1L3
142,BBS5
143,MYH14
144,HERC1
145,CHRNB1
146,BCHE
147,NLGN4X
148,B3GNT2
149,SCN8A
150,PDZD7
151,ADGRB3
152,SLC12A5
153,NRXN3
154,SLC17A8
155,GBX1
156,HOXA1
157,B4GALT2
158,BLOC1S4
159,CDH23
160,BHLHB9
161,COL18A1
162,SHANK2
163,RGS9
164,PTPRZ1
165,BRINP1
166,TIFAB
167,NTF4
168,DCDC2
169,USH2A
170,CRYBA1
171,MMP24
172,SLC24A4
173,WDR36
174,CNTNAP2
175,CCKBR
176,SIX6
177,GRIN2A
178,COMT
179,NLGN2
180,OXT
181,NLGN3
182,SOD2
183,P2RX2
184,ASIC2
185,TMEM100
186,NPFF
187,ADORA1
188,ITGA2
189,GBA
190,EIF2AK3
191,AVPR1A
192,PAX3
193,ATP2B2
194,GLRB
195,TCF15
196,EFEMP1
197,ARC
198,SCN1A
199,GJC1
200,GMFB
201,DMRT3
202,CTNS
203,RAC3
204,PROK2
205,KCNA2
206,RPL38
207,RHO
208,EYA3
209,CLRN1
210,LRIG2
211,SCN10A
212,SLC26A5
