gene,gene_name
1,INAVA
2,ULBP3
3,ULBP2
4,ULBP1
5,RAET1L
6,RAET1G
7,CLEC4C
8,CLEC2A
9,SH2D1B
10,SH2D1A
11,RAET1E
12,KLRF2
13,CLEC4D
14,CADM1
15,SLAMF7
16,RFTN1
17,MICA
18,RAET1E
19,MICB
20,NCR1
21,NRAS
22,MICA
23,RAET1G
24,CD96
25,CD226
26,IL18RAP
27,CADM3
28,CLEC12B
29,CRTAM
30,GYPC
31,KIR3DL1
32,KLRC2
33,ULBP1
34,ULBP3
35,FCN1
36,KLRK1
37,PGLYRP1
38,IRAK4
39,TICAM2
40,CD14
41,TLR8
42,ITGAM
43,RSAD2
44,CTSS
45,CTSB
46,SLAMF6
47,NECTIN2
48,PVR
49,CRTAM
50,PVR
51,SERPINB4
52,LAG3
53,CADM1
54,NCR3
55,MALT1
56,RNASE3
57,CAMP
58,MASP2
59,LYST
60,SIRPB1
61,CRISP3
62,C1RL
63,KLRD1
64,RAET1L
65,SIGLEC14
66,SUSD4
67,TMEM173
68,ULBP2
69,PSMD1
70,IRF7
71,PSMD12
72,PSMD11
73,PSMD13
74,PSMD2
75,PSMB1
76,PSMD3
77,PSMA2
78,S100A8
79,PSMD7
80,PSMA5
81,IRGM
82,PSMD6
83,HAVCR2
84,FCER1G
85,BCL10
86,NFKB1
87,PSMB7
88,PSMD14
89,MAP3K7
90,CD226
91,DEFA1
92,AP1G1
93,C8B
94,C8G
95,C8A
96,C1R
97,XRCC6
98,C1QA
99,C1QB
100,TYROBP
101,CFI
102,ITGB2
103,MPTX1
104,APCS
105,HLA-E
106,C1S
107,CRP
108,DEFA4
109,SERPING1
110,SERPINB9
111,RAB27A
112,HPX
113,UNC13D
114,LAMP1
115,IL21
116,TLR3
117,S100A9
118,BTK
119,PSMC2
120,PTAFR
121,TLR2
122,PSMC3
123,HSPD1
124,CD300A
125,C1QBP
126,PRKCD
127,SYK
128,PDPK1
129,TRAF6
130,LTF
131,ARRB2
132,CR1
133,IFNB1
134,VAV1
135,CORO1A
136,NECTIN2
137,IGLL5
138,XRCC5
139,IGHV3-38
140,LOC642131
141,""""""
142,C2
143,MICB
144,IGHV4-30-2
145,""""""
146,STYK1
147,C7
148,CD84
149,LCN2
150,""""""
151,""""""
152,CFD
153,IGHD
154,IGHA2
155,IGHA1
156,C1QC
157,S4R3C0
158,""""""
159,FES
160,FER
161,A0A087WW49
162,IGHV3-49
163,IGHV1-45
164,IGLL1
165,IGKC
166,TRBC2
167,IGHV7-81
168,IGHV6-1
169,IGHV5-51
