x,GOI_name
1,ADAR
2,ADARB1
3,ADARB2
4,APOBEC1
5,APOBEC2
6,APOBEC3A
7,APOBEC3B
8,APOBEC3C
9,APOBEC3D
10,APOBEC3F
11,APOBEC3G
12,APOBEC3H
13,APOBEC4
14,VEGFA
15,VEGFB
16,IFNA1
17,IFNA2
18,IFNA4
19,IFNA5
20,IFNA6
21,IFNA7
22,IFNA8
23,IFNA10
24,IFNA13
25,IFNA14
26,IFNA16
27,IFNA17
28,IFNA21
29,IFNGR2
30,IFNGR1
31,IFNAR1
32,IFNAR2
33,IFNG
34,STAT1
35,STAT2
36,STAT3
37,STAT4
38,STAT5
39,STAT6
40,TLR3
,TLR4
,TLR5
,TLR6
,TLR7
,TLR8
,TLR9_1
,TLR9_2
,IRF1
,IRF2
,IRF3
,IRF4
,IRF5
,IRF6
,IRF7
,IRF8
,IRF9
,IRF10
,IRF11
,IL1
,IL2
,IL3
,IL4
,IL5
,IL6
,IL7
,IL8
,IL9
,IL10
,IL11
,IL12
,IL13
,IL14
,IL15
,IL16
,IL17
,IL18
,IL19
,IL20
,IL21
,IL22
,IL23
,IL24
,IL25
,IL26
,SOCS
,MDA5
,TRIF
,ICAM1
,ICAM2
,TRAF1
,TRAF2
,TRAF3
,TRAF4
,TRAF5
,TRAF6
