gene,gene_name
1,IFI35
2,IFNGR1
3,IFNGR2
4,IRF1
5,IRF8
6,IRF9
7,PTPN11
8,PTPN6
9,SOCS1
10,PTP1B
11,IFNA13
12,IFNA1
13,UBP43
14,ISG15
15,ISG56
16,IRF7
16,OAS2
17,CXCL10
17,OAS3
18,MX1
18,OAS1
19,ADAR1
20,STAT1
21,STAT2
22,STAT3
23,STAT4
24,STAT5A
25,STAT5B
26,JAK1
27,JAK2
28,IFNB
29,IL10RB
30,IL28RA
31,ADAR2
32,ADAR3
33,TLR3
34,IFI27
35,IFITM2
36,IFNAR1
37,IFNAR2
38,IFNA2
39,IFNA3
40,IFNA4
41,IFNA5
42,IFNA6
43,IFNA7
44,IFNA8
45,IFNA9
46,IFNA10
47,IFNA11
48,IFNA12
49,IFNA13
50,IFNA14
51,IFNA15
52,IFNA16
53,IFNA17
54,IFNA18
55,IFNA19
56,IFNA20
57,IFNA21
58,IFNA22
59,IFNA23
60,IFNA24
61,IFNA25
62,IFNA26
63,IFNL1
64,IFNL2
65,IFNL3
66,IFNG
67,IRF3
68,IKKB
69,MDA5
70,TRADD
71,TANK
72,IKKA
73,IKKG
74,LGP2
75,IPS1
76,RIG1
77,NFKB
