gene,gene_name
1,IGKV1-8
2,IGHV4-31
3,IGHV4-38-2
4,IGKV1-13
5,IGKV2-40
6,IGKJ1
7,IGLJ1
8,TRAV1-1
9,IGHJ1
10,IGHV5-10-1
11,IGHV3-64D
12,IGHV7-4-1
13,IGHD1-1
14,IGHV4-30-4
15,IGHV3-43D
16,IGHV3-30-5
17,IGHV3-30-3
18,IGHV1-8
19,LILRA6
20,BTN3A3
21,IL18BP
22,CD8B2
23,BTNL8
24,RIPK3
25,""""""
26,BTN3A2
27,MICA
28,RAET1E
29,MICB
30,IGKV6-21
31,IGKV1-6
32,IGKV1D-8
33,IGKV3D-15
34,IGLV5-45
35,FCAMR
36,IGKV6D-21
37,IGLV5-52
38,IGKV3D-11
39,IGKV2D-26
40,IGKV1D-13
41,IGKV1D-43
42,IGLV9-49
43,IGLV1-36
44,IGLV5-39
45,IGKV1-9
46,IGKV2-24
47,IGKV3D-7
48,IGKV1-27
49,IGKV1D-17
50,IGKV2D-29
51,IGLV4-3
52,IGLV3-9
53,IGLV3-10
54,IGLV3-12
55,IGLV3-16
56,IGLV2-18
57,IGLV3-22
58,IGLV5-37
59,IGLV7-46
60,IGLV10-54
61,IGLV4-60
62,IGLV8-61
63,IGLV4-69
64,FCRL4
65,IGLC3
66,IGLC2
67,CLEC4G
68,GAPT
69,GAPT
70,CD8A
71,CD48
72,Q4G0T1
73,IFNG
74,LILRB5
75,C4BPA
76,STX7
77,FCER2
78,NECTIN2
79,PVR
80,C4BPB
81,TNFSF13B
82,PVR
83,c1q_human
84,FAM49B
85,IL1RL1
86,NCR3
87,SASH3
88,SLAMF7
89,LILRA1
90,CLC
91,CD7
92,MASP2
93,GNL1
94,C1RL
95,SUSD4
96,RAET1E
97,NLRP10
98,TNFRSF13C
99,SAMSN1
100,CD226
101,SIGLEC10
102,TNFSF13
103,RIPK2
104,IL23A
105,ADGRE1
106,interleukin-23_human
107,SIT1
108,IL20RB
109,IL27RA
110,BTLA
111,APLF
112,ATAD5
113,SASH3
114,TNFRSF17
115,PRR7
116,IL27
117,C8B
118,C8G
119,C8A
120,C1R
121,C1QA
122,C1QB
123,CFI
124,DENND1B
125,CD8A
126,MPTX1
127,APCS
128,LY9
129,C1S
130,CRP
131,IL18R1
132,UNG
133,IL7R
134,RSAD2
135,ZBTB1
136,HPX
137,MSH6
138,LTA
139,EXOSC6
140,LOXL3
141,CR1
142,TP53BP1
143,MLH1
144,CLCF1
145,THOC1
146,EXOSC3
147,ZBTB7B
148,IL12RB1
149,TFRC
150,STAT6
151,HLX
152,IL4
153,ZP3
154,NECTIN2
155,C3
156,NSD2
157,RIF1
158,DUSP22
159,IL4R
160,CD80
161,IGLL5
162,IGHV3-38
163,LOC642131
164,IGLV7-43
165,IGHV1-2
166,""""""
167,C2
168,KLHL6
169,MICA
170,MICB
171,IGHV4-30-2
172,""""""
173,IGHV4-34
174,IGKV4-1
175,IL18RAP
176,C7
177,GCNT3
178,TBX21
179,IL18BP
180,""""""
181,KDELR1
182,""""""
183,IGHD
184,IGHA2
185,IGHA1
186,IGKV1-12
187,C1QC
188,S4R3C0
189,IGHV2-5
190,IGHV2-70
191,""""""
192,A0A087WW49
193,IGKV1D-39
194,IGHV3-49
195,IGHV1-45
196,IGLL1
197,IGKC
198,TRBC2
199,IGHV7-81
200,IGHV6-1
201,IGHV5-51
202,IGHV4OR15-8
203,IGHV4-61
204,IGHV4-59
205,IGHV4-4
206,IGHV4-39
207,IGHV4-31
208,IGHV3OR16-13
209,IGHV3OR16-12
210,IGHV3OR16-10
211,IGHV3-74
212,IGHV3-73
213,IGHV3-72
214,IGHV3-7
215,IGHV3-66
216,IGHV3-53
217,IGHV3-49
218,IGHV3-48
219,IGHV3-43
220,IGHV3-38
221,IGHV3-35
222,IGHV3-33
223,IGHV3-23
224,IGHV3-21
225,IGHV3-20
226,IGHV3-16
227,IGHV3-15
228,IGHV3-13
229,IGHV3-11
230,IGHV2OR16-5
231,IGHV2-70
232,IGHV2-5
233,IGHV1OR15-9
234,IGHV1OR15-1
235,IGHV1-69-2
236,IGHV1-69
237,IGHV1-58
238,IGHV1-46
239,IGHV1-45
240,IGHV1-3
241,IGHV1-24
242,IGHV1-2
243,IGHM
244,IGHG4
245,IGHG3
246,IGHG2
247,IGHG1
248,IGHE
249,IGHV3OR15-7
250,IGHV3OR16-8
251,IGHV4-28
252,DENND1B
253,IGLC2
254,IGLC7
255,IGHV3-64
256,IGHV3OR16-9
257,IGHV1OR21-1
258,RFTN1
259,IL13RA2
260,IGHV1-18
261,IGHV2-26
262,IGHV3-30
263,IGHV1-69D
264,IGHV1OR15-9
265,IGHV2OR16-5
266,IGHV3OR16-9
267,IGHV3-72
268,IGHV3-43
269,IGHV3-74
270,IGHV7-81
271,IGHV3-73
272,IGHV2-26
273,IGHV3-21
274,IGHV3-15
275,IGHV6-1
276,IGKV2-30
277,IGKV5-2
278,IGHV2-70D
279,IGHV3-66
280,IGHV4-61
281,IGHV1-58
282,IGHV5-51
283,IGHV3-35
284,IGHV4-28
285,IGHV1-24
286,IGHV3-20
287,IGHV1-18
288,IGHV3-16
289,IGHV1-3
290,IGKV3D-20
291,MYO1G
292,IGLL5
293,IGHV3OR16-8
294,IGHV3OR16-10
295,IGHV3OR16-13
296,IGHV3OR15-7
297,IGHV1OR15-1
298,IGHV3OR16-12
299,IGKV2D-30
300,IGHV4-4
301,IGHV3-64
302,IGKV2-28
303,IGHE
304,TRBC1
305,IGHV4-59
306,IGHV4-39
307,IGHV3-9
308,IGHV3-7
309,IGHV3-33
310,""""""
311,IGHV3-53
312,IGHV3-13
313,IGHV3-48
314,IGHV3-11
315,IGHV1-46
316,IGHV1-69
317,IGLV6-57
318,IGLV3-27
319,IGLV3-25
320,IGLV3-1
321,IGLV3-19
322,IGLV2-8
323,IGLV2-11
324,IGLV2-23
325,IGLV2-14
326,IGLV1-40
327,IGLV1-51
328,IGLV1-47
329,IGLV1-44
330,IGKV3-15
331,IGKV2D-28
332,IGKV2D-40
333,IGKV1D-12
334,IGKV1-5
335,IGKV1D-16
336,IGKV1-17
337,IGKV1-39
338,IGKV1-33
339,IGKV1D-33
340,IGHV1-69-2
341,""""""
342,IGKV3-11
343,IGKV1-16
344,TRDC
345,KDM5D
346,TRDC
347,TRBC2
348,TRBC1
349,IGLV3-21
350,IGKV2-29
351,IGLL1
352,IGLC6
353,IGLC3
354,IGLC1
355,THEMIS
356,SH2D1B
357,BTN3A1
358,CD1A
359,CLEC4A
360,LAIR1
361,CD8B
362,IL27
363,CD1C
364,WAS
365,LILRA3
366,ORAI1
367,CD1E
368,CD1B
369,SH2D1A
370,CLEC10A
371,NDFIP1
372,HMHB1
373,8-Mar
374,HLA-E
375,MSH2
376,FCER1G
377,FOXJ1
378,RC3H1
379,BTK
380,IL33
381,HSPD1
382,CD28
383,SOCS5
384,MALT1
385,PRKCQ
386,JAK3
387,IL23R
388,SLC11A1
389,IL12A
390,MAP3K7
391,B2M
392,FCGR2B
393,PPP3CB
394,PTPRC
395,CD4
396,IFNB1
397,IFNA2
398,PAXIP1
399,TNFSF4
400,IGLC1
401,CR2
402,IL2
403,C6
404,FCER1G
405,XCL1
406,SLAMF6
407,SEMA4A
408,EBI3
409,C9
410,C4B
411,C4A
412,POU2F2
413,HLA-DQB1
414,UNC13D
415,IGHD
416,IGHA2
417,IGHA1
418,IGHM
419,IGHG4
420,IGHG3
421,IGHG2
422,IGHG1
423,IGKC
424,IGHV3-30
425,IGHV3-23
426,IGKV3-20
427,MBL2
428,MSH6
429,IGLC7
430,EXO1
431,FOXP3
432,IGLC6
433,BMX
434,CD79B
435,TNFRSF13B
436,UNC93B1
437,LILRB3
438,LAT2
439,LIME1
440,RIPK3
441,ICOSLG
442,ERAP2
443,BTK
444,CD79A
445,SUPT6H
446,CLEC4M
447,FCGR1B
448,HAVCR2
449,ARG1
450,ADA
451,TRAF2
452,CCL19
453,CEACAM1
454,LILRB1
455,IL23A
456,FZD5
457,SMAD7
458,TRAF6
459,PTPN6
460,CD40
461,IL6
462,RIPK2
463,HFE
464,CCR2
465,NLRP3
466,BCL6
467,FADD
468,IL12B
469,IL6ST
470,IRF7
471,ALOX15
472,TRPM4
473,LAX1
474,ITK
475,MCOLN2
476,ZNF683
477,CD84
478,PKN1
479,CD247
480,DCLRE1C
481,IFNW1
482,IFNB1
483,IFNA8
484,IFNA7
485,IFNA6
486,IFNA5
487,IFNA4
488,IFNA21
489,IFNA2
490,IFNA17
491,IFNA16
492,IFNA14
493,IFNA10
494,IFNA1
495,RNF19B
496,TEC
497,IFNK
498,IFNE
499,CLEC6A
500,JCHAIN
501,CLEC4C
502,SKAP1
503,PAG1
504,ALCAM
505,TARM1
506,TXK
507,CRACR2A
508,SPN
509,RORC
510,RNF168
511,INPP5D
512,SLA2
513,CCR6
514,CD27
515,SWAP70
516,IL31RA
517,RAB27A
518,BATF
519,AICDA
520,RELB
521,CTSC
522,CXCL13
523,AIRE
524,CD46
525,SERPING1
526,NFKB2
527,CD55
528,TLR8
529,RNF8
530,C5
531,MSH2
532,EMP2
533,LIG4
534,ANXA1
535,TRIM27
536,EIF2AK4
537,AGER
538,PRKCZ
539,CLEC4D
540,CTSL
541,CD6
542,CTLA4
543,LILRB4
544,OTUB1
545,CD209
546,CAMK4
547,ERAP1
548,SLAMF1
549,CD3D
550,MCOLN1
551,MEF2C
552,LAMP3
553,ITK
554,IFNA8
555,TEC
556,IFNA16
557,IFNA4
558,IFNA6
559,IFNW1
560,VTCN1
561,IFNK
562,IFNA17
563,IFNA14
564,IFNA5
565,IFNA21
566,IFNA7
567,IFNA10
568,IFNA1
569,TNFAIP3
570,IFNE
571,OTUD7B
572,TAP2
573,TAP1
574,JAM3
575,CD3G
576,TRAT1
577,CD244
578,TFE3
579,TFEB
580,IRF4
581,CD40LG
582,NBN
583,ERCC1
584,JAG1
585,CTSH
586,GATA3
587,P2RX7
588,IL1B
589,TGFB1
590,TNF
591,URS000039ED8D_9606
592,ADAM17
593,BCL10
594,DUSP10
595,TLR6
596,IRF1
597,BCL3
598,IL18
599,RORA
600,C1QBP
601,HRAS
602,KLRK1
603,EOMES
604,RNF125
605,TNFRSF21
606,TNFSF18
607,DBNL
608,PIK3CD
609,TNFRSF11A
610,IL10
611,HMGB1
612,ZAP70
613,RAG1
614,CD86
615,TXK
616,LAT
617,GPR183
618,SYK
619,CTSS
620,CD74
621,PRKCD
622,DLG1
623,TLR4
624,STAT3
625,LEF1
626,PYCARD
627,ICAM1
628,CLU
629,LILRB2
630,PRDM1
631,PIK3CB
632,PRKCB
633,FGA
634,CSK
635,ARG2
636,CD3E
637,PRKD2
638,FGB
639,SIRT1
640,NEDD4
641,TRPV1
642,PIK3CA
643,PIK3CG
644,TSC1
645,TRPV4
646,IFNG
647,FYN
648,SYK
649,JAK2
650,LYN
651,PTK2B
