gene,gene_name
1,INAVA
2,ULBP3
3,ULBP2
4,ULBP1
5,RAET1L
6,RAET1G
7,CLEC4C
8,CLEC2A
9,SH2D1B
10,SH2D1A
11,RAET1E
12,KLRF2
13,CLEC4D
14,CADM1
15,SLAMF7
16,RFTN1
17,MICA
18,MICB
19,NCR1
20,NRAS
21,CD96
22,CD226
23,IL18RAP
24,CADM3
25,CLEC12B
26,CRTAM
27,GYPC
28,KIR3DL1
29,KLRC2
30,FCN1
31,KLRK1
32,PGLYRP1
33,IRAK4
34,TICAM2
35,CD14
36,TLR8
37,ITGAM
38,RSAD2
39,CTSS
40,CTSB
41,SLAMF6
42,NECTIN2
43,PVR
44,SERPINB4
45,LAG3
46,NCR3
47,MALT1
48,RNASE3
49,CAMP
50,MASP2
51,LYST
52,SIRPB1
53,CRISP3
54,C1RL
55,KLRD1
56,SIGLEC14
57,SUSD4
58,TMEM173
59,PSMD1
60,IRF7
61,PSMD12
62,PSMD11
63,PSMD13
64,PSMD2
65,PSMB1
66,PSMD3
67,PSMA2
68,S100A8
69,PSMD7
70,PSMA5
71,IRGM
72,PSMD6
73,HAVCR2
74,FCER1G
75,BCL10
76,NFKB1
77,PSMB7
78,PSMD14
79,MAP3K7
80,DEFA1
81,AP1G1
82,C8B
83,C8G
84,C8A
85,C1R
86,XRCC6
87,C1QA
88,C1QB
89,TYROBP
90,CFI
91,ITGB2
92,MPTX1
93,APCS
94,HLA-E
95,C1S
96,CRP
97,DEFA4
98,SERPING1
99,SERPINB9
100,RAB27A
101,HPX
102,UNC13D
103,LAMP1
104,IL21
105,TLR3
106,S100A9
107,BTK
108,PSMC2
109,PTAFR
110,TLR2
111,PSMC3
112,HSPD1
113,CD300A
114,C1QBP
115,PRKCD
116,SYK
117,PDPK1
118,TRAF6
119,LTF
120,ARRB2
121,CR1
122,IFNB1
123,VAV1
124,CORO1A
125,IGLL5
126,XRCC5
127,IGHV3-38
128,LOC642131
129,""""""
130,C2
131,IGHV4-30-2
132,STYK1
133,C7
134,CD84
135,LCN2
136,CFD
137,IGHD
138,IGHA2
139,IGHA1
140,C1QC
141,S4R3C0
142,FES
143,FER
144,A0A087WW49
145,IGHV3-49
146,IGHV1-45
147,IGLL1
148,IGKC
149,TRBC2
150,IGHV7-81
151,IGHV6-1
152,IGHV5-51
153,IGHV4OR15-8
154,IGHV4-61
155,IGHV4-59
156,IGHV4-4
157,IGHV4-39
158,IGHV4-31
159,IGHV3OR16-13
160,IGHV3OR16-12
161,IGHV3OR16-10
162,IGHV3-74
163,IGHV3-73
164,IGHV3-72
165,IGHV3-7
166,IGHV3-66
167,IGHV3-53
168,IGHV3-48
169,IGHV3-43
170,IGHV3-35
171,IGHV3-33
172,IGHV3-23
173,IGHV3-21
174,IGHV3-20
175,IGHV3-16
176,IGHV3-15
177,IGHV3-13
178,IGHV3-11
179,IGHV2OR16-5
180,IGHV2-70
181,IGHV2-5
182,IGHV1OR15-9
183,IGHV1OR15-1
184,IGHV1-69-2
185,IGHV1-69
186,IGHV1-58
187,IGHV1-46
188,IGHV1-3
189,IGHV1-24
190,IGHV1-2
191,IGHM
192,IGHG4
193,IGHG3
194,IGHG2
195,IGHG1
196,IGHE
197,IGHV3OR15-7
198,IGHV3OR16-8
199,IGHV4-28
200,IGLC2
201,IGLC7
202,IGHV3-64
203,IGHV3OR16-9
204,IGHV1OR21-1
205,IGHV1-18
206,IGHV2-26
207,IGHV3-30
208,IGHV1-69D
209,IGHV2-70D
210,TRBC1
211,TRDC
212,TARM1
213,IGLC6
214,IGLC3
215,IGLC1
216,PIK3R6
217,TLR4
218,NOD2
219,FADD
220,CD36
221,CYBA
222,HSPA1B
223,ARG1
224,RASGRP1
225,IL12A
226,CRK
227,VAMP7
228,STXBP3
229,C4BPA
230,STXBP2
231,SLPI
232,CR2
233,C6
234,C4BPB
235,KRT1
236,CLEC5A
237,PYCARD
238,C9
239,GZMB
240,GSDMD
241,C4B
242,C4A
243,HLA-DQB1
244,HLA-H
245,MBL2
246,TUBB4B
247,SPON2
248,PRDX1
249,CD177
250,CD58
251,TUBB
252,CFP
253,IFNA2
254,FGR
255,LYN
256,HMGB1
257,LGALS9
258,HSPA1A
259,F2RL1
260,IL12B
261,CEACAM1
262,STAT5B
263,LILRB1
264,ADAM8
265,PLA2G1B
266,PTPN6
267,CEBPG
268,LGALS3
269,SLA2
270,ZBTB1
271,CHGA
272,TOLLIP
273,PIK3CD
274,VNN1
275,WAS
276,IL12RB1
277,FRK
278,CD46
279,S100A7
280,PTX3
281,BST2
282,CD55
283,C5
284,S100A12
285,FCGR2B
286,HSP90AB1
287,CD44
288,STX4
289,STXBP1
290,ACTR2
291,IL23R
292,CYBB
293,C3
294,AGER
295,IL23A
296,JAK3
297,CCL3
298,SLC11A1
299,IL18
300,CD40
301,GSN
302,B2M
303,PIK3CG
304,NLRP3
305,LEP
306,DDX3X
307,XCL1
308,MIF
309,ICAM1
310,CLU
311,GATA3
312,TGFB1
