gene,gene_name
1,IFI35
2,IFNGR1
3,IFNGR2
4,IRF1
5,IRF8
6,IRF9
7,PTPN11
8,PTPN6
9,SOCS1
10,PTP1B
11,IFNA13
12,IFNA1
13,UBP43
14,ISG15
15,ISG56
16,IRF7
17,OAS2
18,CXCL10
19,OAS3
20,MX1
21,OAS1
22,ADAR1
23,STAT1
24,STAT2
25,STAT3
26,STAT4
27,STAT5A
28,STAT5B
29,JAK1
30,JAK2
31,IFNB
32,IL10RB
33,IL28RA
34,ADAR2
35,ADAR3
36,TLR3
37,IFI27
38,IFITM2
39,IFNAR1
40,IFNAR2
41,IFNA2
42,IFNA3
43,IFNA4
44,IFNA5
45,IFNA6
46,IFNA7
47,IFNA8
48,IFNA9
49,IFNA10
50,IFNA11
51,IFNA12
52,IFNA14
53,IFNA15
54,IFNA16
55,IFNA17
56,IFNA18
57,IFNA19
58,IFNA20
59,IFNA21
60,IFNA22
61,IFNA23
62,IFNA24
63,IFNA25
64,IFNA26
65,IFNL1
66,IFNL2
67,IFNL3
68,IFNG
69,IRF3
70,IKKB
71,MDA5
72,TRADD
73,TANK
74,IKKA
75,IKKG
76,LGP2
77,IPS1
78,RIG1
79,NFKB
