gene,gene_name
1,PAF1
2,LTF
3,HMGB3
4,CLDN18
5,FSTL3
6,HOXA9
7,CEACAM1
8,NFKBIA
9,SFRP1
10,LILRB1
11,CDK6
12,HOXA5
13,ZBTB16
14,HSPA9
15,IL4
16,TJP2
17,GPR68
18,HOXB8
19,PTK2B
20,HOXA7
21,INHBA
22,INHA
23,PRMT1
24,ZFP36
25,LRRC17
26,ZBTB46
27,RARA
28,APCS
29,MEIS2
30,CDC73
31,GPR55
32,TLR4
33,MYC
34,CUL4A
35,WDR61
36,ITPKB
37,MEIS1
38,TCTA
39,PIK3R1
40,TMEM178A
41,UBASH3B
42,GABPA
43,C1QC
44,RBM15
45,PF4
46,CARTPT
47,TLR3
48,FBN1
49,LEO1
50,CTNNB1
51,INPP5D
52,KLF13
53,TRIB1
54,STAT5B
55,GPR171
56,PTPN2
57,GATA2
58,ZFPM1
59,ADIPOQ
60,TOB2
61,CIB1
62,ZFP36L1
63,LILRB4
64,NF1
65,ZNF675
66,DLL1
67,LDB1
68,CTR9
69,MAFB
70,NME1
71,LYN
