gene,gene_id,chrome,coord,expression_cutoff
ADARB1p4,0,0,0,250
ADARB1p5,0,0,0,87
ADARB1p201,0,0,0,148
ADAR1p150,0,0,0,1745
ADAR1p110,0,0,0,1674
ADAR1p80,0,0,0,199
ADAR.B1,0,0,0,281
ADAR.B2,0,0,0,84
ADAR.1_1,ENSG00000160710,1,154573967,2318
ADAR.1_2,ENSG00000160710,1,154574820,2318
ADAR.1_3,ENSG00000160710,1,154600372,2318
GRIA2_1,ENSG00000120251,4,158257875,3977
GRIA2_2,ENSG00000120251,4,158281294,3977
GRIA2_3,ENSG00000120251,4,158281293,3977
ACP1,ENSG00000143727 ,2,277003,411
ARFGAP2,ENSG00000149182,11,47195006,700
ATP1A,ENSG00000203865,1,116937809,2465
ATXN7,ENSG00000163635,3,63967900,222
AURKAIP1_1,ENSG00000175756,1,1309185,501
AURKAIP1_2,ENSG00000175756,1,1309405,501
BEST1,ENSG00000167995,11,61730553,1767
BIN1,ENSG00000136717,2,24562770,1905
BLCAP_1,ENSG00000166619,20,36147572,3605
BLCAP_2,ENSG00000166619,20,36147563,3605
CADPS,ENSG00000163618,3,62423807,2314
CCNI,ENSG00000118816 ,4,77977235,14995
CD6,ENSG00000013725,11,33893987,32
CRB2_1,ENSG00000148204,9,126135715,764
CRB2_2,ENSG00000148204,9,126133547,764
CYFIP2,ENSG00000055163,5,156736808,1706
CYR61(CCN1),ENSG00000142871,1,77977235,1285
FLNA,ENSG00000196924 ,X,153579950,3782
FLNB_1,ENSG00000136068,3,58134505,1470
FLNB_2,ENSG00000136068,3,58141791,1470
FLNB_3,ENSG00000136068,3,58145348,1470
FRG1_1,ENSG00000109536,4,29623218,486
FRG1_2,ENSG00000109536,4,29633900,486
GABRA3,ENSG00000011677 ,X,151358319,1022
GANAB,ENSG00000089597,X,62397114,2128
GLUD2_1,ENSG00000182890,X,120181813,65
GLUD2_2,ENSG00000182890,X,120182436,65
GLUD2_3,ENSG00000182890,X,120183106,65
GLUD2_4,ENSG00000182890,X,120182659,65
GRIA3,ENSG00000125675,X,122598962,515
GRIA4,ENSG00000152578 ,11,105804694,1249
GRIK1_1,ENSG00000171189 ,21,30953750,573
GRIK1_2,ENSG00000171189 ,21,30925928,573
GRIK1_3,ENSG00000171189 ,21,30969901,573
GRIK2_1,ENSG00000164418 ,6,102337689,1876
GRIK2_2,ENSG00000164418 ,6,102337702,1876
GRIK2_3,ENSG00000164418 ,6,102372589,1876
GRIK2_4,ENSG00000164418 ,6,102372572,1876
GRIN3A,ENSG00000198785,9,104433048,1342
GRIN3B,ENSG00000116032 ,19,1012381,15
HMCN1_1,ENSG00000143341,1,186141185,130
HMCN1_2,ENSG00000143341,1,186026474,130
HMCN1_3,ENSG00000143341,1,186050417,130
HTR2C_1,ENSG00000147246,X,114082682,988
HTR2C_2,ENSG00000147246,X,114082684,988
HTR2C_3,ENSG00000147246,X,114082689,988
HTR2C_4,ENSG00000147246,X,114082694,988
HTR2C_5,ENSG00000147246,X,114082688,988
IGFBP7_1,ENSG00000163453,4,57976286,2323
IGFBP7_2,ENSG00000163453,4,57976234,2323
KIF20B_1,ENSG00000138182,10,91528069,811
KIF20B_2,ENSG00000138182,10,91498254,811
KIF20B_3,ENSG00000138182,10,91498127,811
KIF20B_4,ENSG00000138182,10,91526067,811
MRPL28,ENSG00000086504,16,417757,638
NEIL1,ENSG00000140398 ,15,75646086,315
NOVA1_1,ENSG00000139910,14,26917530,2415
NOVA1_2,ENSG00000139910,14,26917545,2415
PABPC3_1,ENSG00000151846,13,25672104,34
PABPC3_2,ENSG00000151846,13,25670851,34
PABPC3_3,ENSG00000151846,13,25671672,34
PTK2,ENSG00000169398,8,141780818,1311
PTPRN2,ENSG00000155093,7,157959911,1586
RSU1,ENSG00000148484,10,16858993,496
SON,ENSG00000159140,21,34924145,4145
SRP9_1,ENSG00000143742,1,225974614,2634
SRP9_2,ENSG00000143742,1,225974645,2634
TLN1,ENSG00000137076,9,35733402,621
TMEM63B,ENSG00000137216,6,44120349,1233
TTLL3,ENSG00000214021,3,9860259,670
TTYH1,ENSG00000167614,19,54946784,2758
TUBGCP5_1,ENSG00000275835,15,22864519,271
TUBGCP5_2,ENSG00000275835,15,22864606,271
UBC,ENSG00000150991,15,125397750,8781
ULK2,ENSG00000083290,17,19764325,1712
VWF_1,ENSG00000110799,12,6128443,493
VWF_2,ENSG00000110799,12,6153534,493
VWF_3,ENSG00000110799,12,6172202,493
VWF_4,ENSG00000110799,12,6143984,493
ZNF414,ENSG00000133250 ,19,8578035,114
